"","Norm.","Homosc.","Indep.","Regress.Test","intercept","A","R2"
"Mg25",0.417762781864887,0.458,0.212108159896441,0.000495144633412213,0.358963173587944,-0.0042977468985406,0.885164351948057
"Ca43",NA,NA,NA,NA,1,0,NA
"Ca44",0.335521888228377,0.941,0.0792901216210714,0.315886670308532,26.0348843706175,-0.0791624774583895,0.166320175291655
"Cr52",0.131516074930541,0.618,0.884014832954002,0.073721418884641,2.24169440514653,-0.00622340253017145,0.438237603535047
"Cr53",0.849650611409552,0.331,0.836025349627933,0.0258577945103165,0.266125350089187,-0.00103027306424245,0.590703862036746
"Mn55",0.2768474119705,0.538,0.890699601900361,0.00292820411936072,3.53177460035854,-0.0170098223230472,0.795016598638276
"Fe57",0.555949031027274,0.786,0.311556594496096,0.00386409915995195,0.0871430778694408,-0.00116357316571296,0.775819194708791
"Co59",0.451588261076052,0.704,0.93670571437875,0.0106036602926703,2.47264466791505,-0.00795209844806978,0.690427427558876
"Ni60",0.906336902629593,0.98,0.993232275452252,0.00959538586928069,0.58893384849669,-0.00260399523759796,0.700082404174857
"Ni62",0.0599015101613395,0.187,0.525350782740218,0.947008640997495,0.0832529598564674,-1.7794496817756e-05,0.00079959597003624
"Cu63",0.568002429010346,0.965,0.837671260094182,0.0252692519646054,1.36312222981186,-0.00525194209851787,0.593608105582897
"Cu65",0.328294775580428,0.882,0.263470342209708,0.0792112419781146,0.63417036146934,-0.0017831434871391,0.426294277965099
"Zn66",0.458567090207452,0.235,0.00770010691897989,0.00568312598456146,0.495103719628462,0.0030429028261585,0.746231281494033
"Zn68",0.6028105012423,0.683,0.676612565168964,0.00378188036427234,0.487098096208213,-0.00314480549001659,0.777367663700443
"Sr86",0.229183768532564,0.857,0.164571047714938,0.23851509728289,0.497207018293462,0.00107531648456222,0.222070509448338
"Sr88",0.496744007676509,0.803,0.317251453022606,0.0268804612986756,4.12307373234634,0.0148633366363128,0.585769468467061
"Sn118",0.494375521459775,0.27,0.00558099133588358,0.00272371731277286,1.13849652522145,0.0127263974710454,0.799760948392019
"Sn119",0.142777380890427,0.027,0.042248856454855,0.188716100472512,0.726351031447316,-0.00251188237600758,0.268105431952669
"Sn120",0.661074366509147,0.118,0.0203727211052486,0.00403042593907176,1.59464534460077,0.0163953194096711,0.77275497249217
"Ba137",0.680916258290267,0.916,0.374306430687704,0.00131287462099103,0.512226764195287,0.00642294684886396,0.842021182425569
"Ba138",0.0269468119180179,0.535,0.128472668211355,0.00259233169436185,3.33911050262738,0.0421127066756551,0.802940025159189
"Ce140",0.399466868699739,0.335,0.392723467718641,0.000180182275383942,4.37918334680439,0.0958971908484492,0.917651179919457
"Pb206",0.365231174170747,0.738,0.143348153247078,0.00187570991423542,1.18856953119087,0.0179724079450326,0.822573111330074
"Pb208",0.0946065782262501,0.452,0.146131370199051,0.00334732847118403,3.20446279552155,0.0486379646416139,0.785962982005591
