"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9072,0,0,4100.52,20613.22,200,100,800.02,0,0,0,0,0,0,900.03,700.02,0,200,0,300,0,0,200,0,0
"4",1.1902,0,100,5100.81,21414.26,400.01,700.02,1400.06,0,0,0,0,0,0,500.01,900.03,0,0,200,300,0,0,0,0,0
"5",1.4732,0,0,3700.42,23517.2,100,700.02,1000.03,0,0,100,0,0,0,700.02,700.02,0,100,0,400.01,0,0,0,0,0
"6",1.7562,0,200,4700.68,20312.84,200,900.03,1100.04,0,0,0,0,0,0,500.01,800.02,0,0,300,100,0,0,0,100,0
"7",2.0393,0,0,4600.66,19812.21,200,1000.03,1400.06,0,0,0,0,0,0,700.02,1000.03,0,200,0,400.01,0,0,0,0,0
"8",2.3223,0,0,4600.66,22916.33,200,900.03,1500.07,0,0,0,0,0,0,500.01,900.03,0,100,200,100,0,0,0,0,0
"9",2.6053,0,100,4900.74,22515.77,200,700.02,800.02,0,0,0,0,0,0,400.01,700.02,0,400.01,100,500.01,100,0,0,0,0
"10",2.8884,0,0,4200.55,24218.24,200,400.01,900.03,0,0,0,100,100,0,300,900.03,0,400.01,0,300,0,0,0,0,0
"11",3.1714,0,100,5801.04,20312.84,100,1300.05,1100.04,100,0,100,0,0,200,100,300,0,100,100,400.01,0,0,0,0,0
"12",3.4544,0,100,3900.47,24418.55,300,1100.04,900.03,0,0,0,0,0,0,600.01,900.03,0,0,100,0,0,0,0,0,100
"13",3.7374,0,0,4300.57,18911.13,300,1500.07,1600.08,0,0,0,0,0,0,200,600.01,0,200,200,100,0,0,0,0,0
"14",4.0204,0,0,4600.66,17809.87,100,500.01,1500.07,500.01,0,0,0,0,0,600.01,600.01,0,300,100,500.01,0,0,0,0,100
"15",4.3035,0,100,3800.45,21614.53,200,1200.04,1100.04,0,100,100,0,0,0,600.01,500.01,0,300,100,400.01,0,0,0,0,0
"16",4.5865,0,0,3100.3,22115.21,0,800.02,1400.06,0,0,0,0,100,0,600.01,1200.05,0,200,0,100,0,0,100,100,100
"17",4.8695,0,0,5200.84,20613.22,100,600.01,1400.06,100,0,0,0,0,0,500.01,700.02,0,100,100,100,0,0,0,0,0
"18",5.1525,100,0,4600.66,19211.48,500.01,700.02,1400.06,0,0,200,0,0,100,500.01,600.01,0,300,100,300,0,0,0,0,0
"19",5.4356,0,0,6201.19,20212.71,200,1100.04,1400.06,100,0,100,100,0,0,800.02,500.01,0,100,100,300,0,0,0,100,0
"20",5.7186,0,0,5100.81,20913.61,300,800.02,1200.05,100,0,0,0,100,0,200,500.01,0,100,100,100,0,100,0,0,0
"21",6.0016,0,0,4300.57,17809.87,600.01,1000.03,1700.09,0,100,0,0,0,0,600.01,600.01,0,100,0,400.01,0,0,0,0,0
"22",6.2846,0,0,4400.6,21013.73,100,500.01,1100.04,0,0,0,0,0,0,400.01,300,0,200,100,200,0,0,0,0,0
"23",6.5677,0,0,4100.52,19211.48,0,900.03,1100.04,0,0,200,0,0,100,800.02,400.01,100,200,300,300,0,0,0,0,0
"24",6.8507,0,0,5500.94,19011.24,400.01,600.01,1100.04,0,0,0,0,0,0,600.01,900.03,0,200,0,400.01,0,0,0,0,0
