"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",33.172,23595.5046728972,287074.163551402,7548970.68869159,6645.35747663552,NA,4239.12420560748,4517.73710280374,370.103457943925,678.524672897196,NA,4175.31635514019,2287.08588785047,19183.5626168224,15099.151588785,100216.494579439,1832177.47261682,1427.18168224299,539.262336448598,2485.28514018692,2494.60252336449,26019.5962616822,NA,6894.17336448598,10491.6804672897
"2",33.455,18989.5246728972,296542.763551402,6719531.60869159,NA,NA,5339.52420560748,3917.53710280374,170.093457943925,478.514672897196,NA,3075.06635514019,986.945887850467,14678.7626168224,7893.75158878505,82110.7945794392,1750741.73261682,1327.17168224299,539.262336448598,1585.15514018692,3594.82252336449,20611.2562616822,NA,5293.49336448598,11792.6904672897
"3",33.738,15886.2246728972,304386.513551402,6931998.79869159,5443.35747663552,481.32691588785,3738.97420560748,5718.18710280374,NA,478.514672897196,NA,1974.89635514019,986.945887850467,12877.2026168224,8794.25158878505,97700.5645794392,1870294.85261682,1027.15168224299,839.282336448598,1185.10514018692,2994.69252336449,23114.8762616822,NA,4593.25336448598,9290.85046728972
"4",34.021,13984.4846728972,330083.363551402,6553465.97869159,NA,NA,2738.71420560748,3117.31710280374,NA,778.524672897196,NA,1974.89635514019,786.935887850467,14178.3026168224,8394.02158878505,91563.3945794392,1934444.85261682,427.111682242991,NA,1585.15514018692,2794.65252336449,17206.9962616822,97.196261682243,2892.81336448598,4288.49046728972
"5",34.3041,9881.4946728972,279137.003551402,6768371.44869159,4942.54747663551,NA,1538.47420560748,3517.41710280374,370.103457943925,278.504672897196,NA,1174.81635514019,NA,6073.13261682243,5692.75158878505,88344.8445794392,1565995.73261682,NA,NA,785.075140186916,3094.71252336449,13703.4162616822,NA,1292.58336448598,3188.21046728972
"6",34.5871,6279.7146728972,266323.573551402,6159098.38869159,NA,NA,2638.68420560748,3217.33710280374,170.093457943925,378.514672897196,NA,2274.93635514019,786.935887850467,6673.37261682243,4092.22158878505,83819.8845794393,1516516.92261682,NA,339.262336448598,785.075140186916,1394.45252336449,14203.8762616822,97.196261682243,9395.59336448598,5488.90046728972
"7",34.8701,7080.0446728972,243568.983551402,6112901.90869159,7747.26747663552,NA,1638.49420560748,2617.19710280374,NA,278.504672897196,NA,674.786355140187,386.925887850467,5773.02261682243,3792.14158878505,71960.6245794392,1287061.83261682,527.121682242991,NA,NA,1494.46252336449,25017.9062616822,NA,992.553364485981,2988.16046728972
"8",35.1531,5679.4946728972,213549.063551402,4898381.95869159,NA,NA,NA,2317.12710280374,170.093457943925,278.504672897196,NA,1074.80635514019,286.915887850467,4072.49261682243,2791.90158878505,69348.7645794392,559086.472616822,NA,NA,NA,1694.49252336449,11401.4962616822,NA,992.553364485981,1687.95046728972
"9",35.4362,5579.4646728972,211623.983551402,5617908.14869159,NA,NA,1538.47420560748,1917.04710280374,170.093457943925,NA,NA,874.796355140187,486.925887850467,3472.35261682243,2191.79158878505,51780.2645794393,508710.452616822,527.121682242991,NA,NA,1794.50252336449,12001.9662616822,NA,1392.59336448598,1287.91046728972
"10",35.7192,4679.1746728972,186517.703551402,5053788.98869159,NA,NA,NA,1817.03710280374,NA,278.504672897196,NA,1074.80635514019,486.925887850467,3472.35261682243,2391.83158878505,82713.9845794392,655627.592616822,NA,NA,585.065140186916,1294.45252336449,14404.0662616822,NA,1192.57336448598,1887.98046728972
