"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9072,100,0,5000.77,22315.49,300,1100.04,1100.04,0,0,0,400.01,0,0,800.02,800.02,0,200,0,0,0,0,0,100,0
"4",1.1902,0,200,4700.68,22716.05,300,900.03,300,0,0,0,0,0,200,700.02,400.01,100,0,0,100,0,0,0,0,0
"5",1.4732,0,0,2600.21,22515.77,500.01,500.01,1200.05,0,0,100,0,100,0,200,800.02,0,0,100,100,0,0,0,100,0
"6",1.7562,0,200,4800.71,17809.87,200,1200.04,1200.05,0,0,0,200,0,0,200,900.03,0,100,100,200,0,200,0,0,0
"7",2.0393,0,100,5801.04,21714.67,100,500.01,1800.1,0,100,0,0,200,0,700.02,900.03,100,200,0,100,0,0,0,0,0
"8",2.3223,0,100,4300.57,21814.8,100,400.01,1300.05,0,0,0,0,100,0,1000.03,1000.03,0,200,100,300,0,0,0,0,0
"9",2.6053,0,0,4900.74,21113.87,200,900.03,1600.08,0,100,0,200,100,0,600.01,400.01,0,100,0,300,100,0,0,0,0
"10",2.8883,0,0,3500.38,19311.6,300,900.03,1100.04,0,0,0,0,0,100,400.01,700.02,0,100,0,200,0,0,0,0,0
"11",3.1714,0,0,4000.5,21914.94,700.02,600.01,1700.09,100,100,0,100,0,100,800.02,900.03,0,0,100,0,0,0,0,0,0
"12",3.4544,0,0,5701.01,17909.98,500.01,1100.04,900.03,0,0,0,0,0,0,900.03,900.03,0,100,0,0,0,0,0,0,0
"13",3.7374,0,0,4100.52,20412.96,400.01,1000.03,700.02,100,100,0,0,100,0,400.01,800.02,0,0,0,100,100,0,0,0,100
"14",4.0204,100,0,5000.77,21714.67,300,1100.04,1200.05,0,0,0,0,0,0,400.01,600.01,0,200,200,300,0,0,0,0,0
"15",4.3035,100,0,2700.23,21214,200,1000.03,1500.07,0,0,0,100,0,0,400.01,900.03,100,300,0,300,100,0,0,0,0
"16",4.5865,300,0,3300.34,21414.26,300,1400.06,1100.04,0,0,0,0,0,100,600.01,800.02,0,200,100,200,0,0,0,0,0
"17",4.8695,0,100,4200.55,19011.24,200,900.03,800.02,100,0,0,0,0,0,700.02,600.01,100,500.01,0,0,0,0,0,0,0
"18",5.1525,100,0,3400.36,21914.94,300,700.02,1300.05,0,0,100,0,200,100,300,400.01,0,100,0,500.01,0,0,0,0,0
"19",5.4355,100,300,4000.5,19712.09,200,700.02,1000.03,0,0,0,200,100,100,600.01,300,0,300,100,400.01,0,0,100,0,0
"20",5.7186,0,0,3400.36,20012.46,200,1200.04,1300.05,0,0,0,0,0,0,100,400.01,0,200,0,400.01,0,0,0,0,100
"21",6.0016,0,0,3500.38,23517.2,100,900.03,1100.04,100,0,0,0,0,100,500.01,200,0,200,0,100,0,0,0,0,0
"22",6.2846,0,100,2800.24,20312.84,400.01,1000.03,700.02,0,200,0,100,0,0,600.01,500.01,0,100,0,0,0,0,0,100,0
"23",6.5676,0,0,4100.52,20513.09,100,1100.04,1000.03,0,0,0,0,0,0,400.01,800.02,0,0,100,200,0,0,0,0,0
"24",6.8507,0,100,6201.19,17509.54,100,1000.03,1600.08,100,0,100,200,0,0,600.01,500.01,100,200,0,300,0,0,0,0,0
"25",7.1337,0,100,5100.81,20713.35,300,1200.04,800.02,100,100,0,0,0,0,400.01,300,0,200,200,100,0,0,0,0,0
"26",7.4167,100,100,4100.52,17709.76,200,1100.04,900.03,0,0,0,0,0,0,300,600.01,0,100,100,0,0,0,0,0,0
"27",7.6997,0,100,4400.6,21113.87,200,800.02,1200.05,0,0,0,0,0,0,100,600.01,0,200,0,300,100,0,0,0,0
"28",7.9828,0,0,5500.94,18210.32,300,900.03,1500.07,0,100,0,0,100,0,100,300,100,200,200,200,0,0,0,0,0
"29",8.2658,0,0,4800.71,21214,200,900.03,1600.08,0,100,0,0,0,0,400.01,300,100,100,0,0,0,0,0,0,0
"30",8.5488,0,0,4500.63,19511.84,200,1000.03,1500.07,0,0,0,0,0,0,400.01,600.01,0,100,200,100,0,0,0,0,0
