"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"113",32.0398,46064.63,439491.86,10449531.48,73467.62,700.02,35840.02,37343.52,600.01,11404.07,1100.04,43258.64,29527.37,45364.63,76383.31,106963.86,2229148.88,5300.92,3000.29,6501.38,27124.32,105164.92,21014.63,32035.55,45271.06
"114",32.3228,52784.85,310757.33,6444802.49,44762.28,1400.06,19111.39,30128.33,300,24618.96,4500.64,15307.35,7001.54,32533.25,25119.86,52086.43,1590596.32,3500.4,1100.04,10003.27,5601.04,27324.7,600.01,18712.14,29029.23
"115",32.6059,22415.32,104134.19,3668464.14,41754.2,1600.08,11203.91,23417.12,15907.91,7801.91,1600.08,14906.97,14506.61,26522.1,16608.68,31531.7,529276.33,2000.13,98616.72,16408.8,1800.11,14206.68,2100.15,17410.51,24520.86
"116",32.8889,23216.43,61717.54,1575592.32,37744.29,100,15107.12,134260.79,400.01,13105.38,2000.13,20212.81,11504.16,17609.75,18010.21,13705.99,108676.11,1800.11,700.02,3000.29,8002.12,12705.34,400.01,10103.54,16709.69
"117",33.1719,25720.16,50177.73,1531141.73,39949.62,700.02,11103.84,20513.14,400.01,13305.54,2100.14,27123.07,11203.94,18210.42,11504.17,11304.08,129029.85,3100.31,1400.06,3900.5,3300.36,61324.27,800.02,8002.22,19913.76
"118",33.4549,44159.4,41453.06,1242043.68,59208.92,1100.04,9602.88,15607.61,600.01,107661.71,2800.25,24318.54,10403.4,22215.51,12705.08,16308.48,188427.82,2000.13,700.02,4200.58,2800.26,15407.86,300,14207,22116.97
"119",33.7379,44460.22,70453.13,2336949.66,48874.24,1300.05,8302.15,40050.05,400.01,16108.12,2500.2,20613.32,11103.87,14006.17,11804.39,23117.04,216690.19,3000.29,800.02,8802.53,3100.32,16308.8,500.01,16709.68,28327.84
"120",34.021,96483.11,98297.84,2154867.43,96388.32,1000.03,7801.9,20112.63,500.01,13105.38,2700.23,17109.18,7701.86,15807.85,18711.02,24619.33,257095.05,2000.13,17510.01,3500.4,3500.41,47574.82,400.01,36847.03,51792.98
"121",34.304,57601.03,105845.25,3859700.87,40150.11,300,11203.91,19211.52,200,11304,1800.1,24318.54,11003.8,17309.42,14706.81,35039.14,320040.02,3200.33,1200.05,3700.45,4500.67,54799.25,200,104175,174045.6
"122",34.587,60110.01,235603.81,4359047.75,44260.89,1200.04,15307.31,25820.81,300,8902.48,1100.04,11704.3,5300.88,31831.83,14006.18,58810.16,585763.39,3500.4,1500.07,3000.29,6701.49,32134.16,0,130891.47,208600.2
