"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"113",32.0398,14206.15,343714.24,7948650.18,27824.08,600.01,6301.24,9102.59,100,800.02,100,3000.28,3200.32,16408.46,21614.7,106057.73,1983145.16,1600.08,400.01,2400.19,46471.35,251069.95,200,3500.43,17210.28
"114",32.3228,8602.26,352909.11,8015277.52,24618.85,0,3900.47,6201.2,0,200,200,1900.11,700.02,11704.31,17109.22,100722.7,1845013.32,1000.03,200,1100.04,31132.03,223643.9,100,1300.06,2700.25
"115",32.6059,6201.17,261395.64,6699489.21,22115.21,200,3300.34,5000.78,0,400.01,0,800.02,700.02,5400.92,12304.77,84225.76,2061299.07,1000.03,100,800.02,32935.85,219584.99,0,1900.13,1400.07
"116",32.8889,4000.49,305050.23,7453765.79,25119.62,400.01,2100.14,4200.55,0,200,0,400.01,300,9602.9,19612.11,114214.76,2008260.2,400.01,100,700.02,32635.2,241820.83,0,800.02,1300.06
"117",33.1719,13805.81,299345.1,7993465.02,21614.53,500.01,2200.15,4800.72,100,300,0,700.02,200,10903.74,17409.54,106863.17,2167474.07,400.01,100,900.03,37847.34,272537.34,0,1600.09,2000.14
"118",33.4549,3400.35,336668.32,8586065.82,20412.96,200,2600.21,7801.9,200,200,100,1400.06,400.01,10303.34,18310.55,111696.71,2282479.74,1000.03,300,1000.03,41557.06,278851.03,100,2600.23,2600.23
"119",33.738,3100.29,335953.69,8608630.66,22015.07,300,1700.09,7101.57,200,300,0,700.02,900.03,10103.21,23617.55,112200.28,2501324.27,1200.05,300,1000.03,44064.15,282008.87,0,600.01,2500.22
"120",34.021,4000.49,371519.05,9490790.06,22716.05,500.01,1300.05,5000.78,100,300,0,400.01,200,6001.13,14606.72,117337.71,2270589.89,0,300,400.01,40855.16,268465.36,0,1000.03,2400.2
"121",34.304,5400.89,357712.95,9210336.92,22415.63,400.01,1400.06,5500.95,0,100,0,300,300,7201.63,17509.65,123182.3,2279350.83,600.01,0,1300.06,43261.84,252493.39,100,1600.09,1600.09
"122",34.587,5000.76,368859.19,9396990.05,21914.94,200,2800.24,5801.05,0,300,0,500.01,300,6301.25,15607.67,139013.94,2640109.82,600.01,200,700.02,39551.69,262257.7,0,3900.53,2500.22
"123",34.8701,3800.44,386155.99,9558072.09,21314.13,300,1900.11,5801.05,100,0,0,400.01,300,9903.08,17309.43,120259.74,2540289.9,0,100,700.02,37346.09,242024.03,0,1800.11,3100.33
"124",35.1531,3900.46,343816.37,9238406.46,19611.96,100,5100.81,17109.14,200,200,100,800.02,400.01,13505.73,18610.9,108977.66,2273315.48,400.01,200,600.01,37747.09,227602.37,0,1800.11,3500.43
"125",35.4361,3800.44,384517.66,9921047.88,20613.22,100,6501.32,17809.9,400.01,100,100,700.02,400.01,12404.84,43158.59,166176.54,2878492.64,400.01,200,300,40855.16,275693.85,0,1100.04,2700.25
"126",35.7191,3800.44,433020.76,10626678.36,21013.73,300,3000.28,13705.87,100,200,0,500.01,500.01,5500.95,15507.57,126004.62,2527913.14,400.01,100,700.02,32935.85,217758.82,0,1100.04,12305.26
