"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.8889,14403.7573394495,313244.580550459,7723167.73,6973.32201834862,NA,3706.18403669725,3810.82302752294,NA,NA,NA,3364.62779816514,987.203853211009,7354.11119266055,8076.67605504587,107528.509541284,2477939.79284404,679.84256880734,NA,823.897064220183,26906.8867889908,159093.992844037,NA,884.44128440367,1671.68605504587
"2",33.1719,12902.4873394495,349680.620550459,8515795.87,6172.01201834863,NA,1605.69403669725,5111.28302752294,NA,NA,NA,1164.27779816514,687.183853211009,5753.42119266055,9277.38605504587,126671.799541284,2354061.85284404,NA,NA,NA,28109.0967889908,165461.972844037,NA,NA,971.606055045871
"3",33.455,11101.1473394495,342632.010550459,8449205.25,NA,NA,1505.67403669725,2410.45302752294,NA,NA,NA,1264.28779816514,487.173853211009,5253.24119266055,8877.13605504587,108736.869541284,2291260.68284404,679.84256880734,NA,NA,26405.9967889908,168090.802844037,NA,NA,NA
"4",33.738,9199.94733944954,342019.240550459,8114238.05,NA,NA,NA,3110.62302752294,NA,NA,NA,864.257798165138,NA,4452.99119266055,9777.70605504587,116794.989541284,2202148.76284404,NA,NA,NA,25704.7767889908,164552.092844037,NA,584.42128440367,771.586055045871
"5",34.021,8799.71733944954,358163.380550459,9068395.88,NA,NA,NA,4010.89302752294,NA,NA,NA,564.237798165138,NA,4452.99119266055,7376.31605504587,121430.269541284,2471403.65284404,979.87256880734,461.485596330275,NA,33419.9667889908,199571.042844037,NA,684.43128440367,NA
"6",34.304,9700.23733944954,402180.890550459,9779652.93,NA,NA,1705.70403669725,4110.92302752294,NA,NA,NA,NA,NA,4352.96119266055,10077.9060550459,128889.899541284,2600538.23284404,879.86256880734,NA,NA,36025.9767889908,233959.942844037,NA,NA,NA
"7",34.5871,5998.41733944954,401565.870550459,9652084.96,6172.01201834863,NA,NA,3510.73302752294,NA,NA,NA,1264.28779816514,NA,3652.77119266055,13680.7360550459,138673.419541284,2515723.38284404,NA,NA,NA,36928.1667889908,251234.412844037,NA,NA,NA
"8",34.8701,4597.94733944954,400540.900550459,9284634.95,NA,NA,NA,2910.57302752294,NA,NA,NA,664.247798165138,NA,2652.55119266055,11979.2960550459,137160.099541284,2531381.97284404,NA,NA,NA,39835.5767889908,264152.252844037,NA,NA,NA
"9",35.1531,5398.20733944954,379850.250550459,9367594.33,NA,NA,NA,3010.59302752294,NA,NA,NA,NA,NA,2152.47119266055,11278.7560550459,126772.609541284,2466258.34284404,NA,NA,NA,42141.8567889908,241985.042844037,NA,NA,NA
"10",35.4361,5898.38733944954,372174.740550459,8681170.09,NA,NA,NA,2410.45302752294,NA,NA,NA,NA,NA,2052.46119266055,12379.6260550459,120422.479541284,2383779.82284404,NA,NA,NA,39434.5167889908,255708.652844037,NA,NA,NA
