"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9073,0,0,4400.6,21214,100,1300.05,1500.07,0,0,0,0,0,0,500.01,800.02,100,200,100,100,100,0,0,0,0
"4",1.1904,0,0,4100.52,19211.48,200,1400.06,800.02,0,0,0,100,0,0,200,400.01,0,100,100,100,0,100,0,0,0
"5",1.4734,100,100,4200.55,20312.84,0,1300.05,900.03,0,0,0,0,0,0,500.01,600.01,0,0,0,200,0,0,0,0,0
"6",1.7564,200,0,3800.45,18510.66,200,1100.04,1300.05,0,0,100,0,0,100,400.01,600.01,0,100,0,200,0,0,0,0,0
"7",2.0394,0,100,4500.63,20012.46,400.01,700.02,900.03,0,0,0,0,0,0,400.01,500.01,0,0,0,100,0,0,0,0,0
"8",2.3225,0,100,4900.74,21314.13,100,1200.04,1300.05,0,0,100,0,100,0,700.02,900.03,0,100,0,200,0,0,0,0,0
"9",2.6055,0,0,4200.55,20112.58,500.01,800.02,900.03,0,0,0,0,0,100,300,400.01,0,200,100,100,0,0,0,0,0
"10",2.8885,0,0,5000.77,21214,0,1100.04,1100.04,0,0,0,100,0,0,700.02,700.02,0,200,0,300,0,0,0,0,0
"11",3.1715,0,100,4600.66,21214,200,800.02,1700.09,0,0,100,200,0,100,200,1400.06,0,300,0,0,0,0,0,0,0
"12",3.4546,0,0,6001.11,20112.58,300,1600.08,1200.05,0,0,0,0,0,100,400.01,400.01,0,100,100,200,0,0,0,0,0
"13",3.7376,0,100,5600.97,21113.87,0,900.03,900.03,0,100,0,0,0,0,400.01,800.02,0,0,0,300,0,0,0,0,100
"14",4.0206,0,0,4100.52,19712.09,0,700.02,1000.03,0,0,0,0,0,0,900.03,400.01,0,100,0,100,0,0,0,0,100
"15",4.3036,0,0,8302.13,23116.62,100,900.03,1100.04,0,0,0,0,0,100,300,700.02,0,200,0,100,0,0,0,0,100
"16",4.5866,0,0,3400.36,19011.24,200,1300.05,1500.07,0,0,0,0,0,300,600.01,500.01,0,200,0,200,0,100,0,0,0
"17",4.8697,0,0,4000.5,17009,400.01,700.02,1400.06,0,0,0,0,0,0,100,600.01,0,100,100,400.01,0,0,0,0,0
"18",5.1527,0,0,3900.47,20112.58,500.01,1400.06,900.03,0,0,0,0,0,0,400.01,700.02,0,200,0,200,0,0,0,0,0
"19",5.4357,0,0,5100.81,17409.43,200,800.02,800.02,100,0,0,0,0,0,500.01,800.02,0,100,0,300,0,0,0,0,0
"20",5.7188,0,300,5100.81,19411.72,100,1300.05,800.02,0,0,100,100,0,0,400.01,900.03,0,200,0,0,0,0,0,0,0
"21",6.0018,0,100,4300.57,19411.72,100,1100.04,1500.07,0,0,0,0,0,0,300,600.01,0,200,100,200,100,0,0,0,0
"22",6.2848,0,0,3100.3,18911.13,100,1100.04,1000.03,100,100,0,100,0,100,900.03,500.01,0,100,0,0,0,0,100,0,100
"23",6.5678,0,0,3500.38,19311.6,400.01,1200.04,800.02,0,0,0,0,0,100,500.01,600.01,100,300,0,100,0,0,0,0,0
"24",6.8508,0,0,5801.04,21614.53,200,700.02,1500.07,0,0,0,100,0,0,500.01,500.01,0,200,0,100,0,0,0,0,0
"25",7.1339,100,0,4500.63,21814.8,600.01,1000.03,900.03,0,100,0,100,0,100,600.01,200,0,100,0,200,0,0,0,0,0
"26",7.4169,0,0,4400.6,17109.11,100,1500.07,1000.03,0,0,0,0,0,0,400.01,800.02,0,400.01,0,400.01,0,0,0,0,100
"27",7.6999,0,0,4500.63,20212.71,300,900.03,600.01,0,0,0,0,0,0,500.01,500.01,0,200,0,800.02,0,0,0,0,0
"28",7.9829,0,100,4100.52,19611.96,200,1000.03,600.01,0,100,0,200,0,0,200,800.02,100,100,300,300,0,0,0,0,100
"29",8.266,0,200,4200.55,19011.24,100,1000.03,600.01,0,0,0,0,100,0,400.01,600.01,0,200,100,200,0,0,0,0,0
"30",8.549,0,0,4200.55,16908.89,400.01,1000.03,1400.06,100,0,0,0,0,0,500.01,500.01,0,100,100,0,0,0,0,0,0
"31",8.832,0,0,4600.66,17609.65,200,700.02,1500.07,0,0,0,100,100,0,300,900.03,100,200,100,400.01,0,0,0,0,0
"32",9.115,0,0,3900.47,20312.84,200,900.03,1200.05,100,0,0,0,0,0,400.01,400.01,0,0,0,200,0,0,100,0,0
"33",9.3981,0,0,4400.6,17709.76,400.01,1200.04,800.02,100,0,0,0,0,0,800.02,500.01,0,200,100,200,0,0,0,0,0
"34",9.6811,0,0,4200.55,19712.09,200,1200.04,1100.04,0,0,0,0,0,0,800.02,800.02,0,300,0,500.01,100,0,0,0,0
"35",9.9641,0,0,3600.4,18811.01,500.01,1600.08,700.02,0,100,100,0,0,0,100,1500.07,0,200,0,300,0,0,0,0,0
"36",10.2471,0,100,3900.47,18510.66,200,900.03,1100.04,100,0,0,100,0,0,700.02,1200.05,0,100,100,200,0,0,0,0,0
"37",10.5302,0,0,4300.57,19611.96,700.02,1100.04,400.01,0,0,0,0,100,0,300,400.01,0,100,0,200,0,0,0,100,0
"38",10.8132,0,0,3900.47,21113.87,100,1400.06,1900.11,100,0,100,0,0,100,500.01,700.02,0,0,100,200,0,0,0,0,0
"39",11.0962,0,100,5000.77,17809.87,200,900.03,1100.04,0,0,0,0,0,100,300,800.02,100,200,0,300,0,0,0,0,0
"40",11.3792,0,200,4400.6,20813.48,300,2100.14,800.02,0,0,0,100,0,0,800.02,300,0,100,0,200,0,0,0,0,0
"41",11.6622,200,0,5300.87,19511.84,100,200,1000.03,0,0,0,0,100,0,400.01,700.02,0,300,0,0,0,0,0,0,0
"42",11.9453,100,0,4700.68,21214,300,800.02,1300.05,100,0,0,0,0,0,600.01,400.01,0,100,100,500.01,0,0,0,0,0
"43",12.2283,0,0,4800.71,18510.66,300,800.02,1200.05,0,0,0,0,0,0,100,500.01,0,0,100,200,0,0,0,0,0
"44",12.5113,100,0,4100.52,18410.54,200,800.02,1000.03,100,0,0,0,0,0,300,900.03,0,300,0,200,0,0,0,0,0
"45",12.7943,0,0,4800.71,17409.43,200,1100.04,1000.03,100,0,100,0,0,200,100,800.02,0,100,100,400.01,0,0,0,0,0
"46",13.0774,0,0,4800.71,21214,300,1000.03,1400.06,0,100,0,100,0,0,500.01,1200.05,0,500.01,0,400.01,0,0,0,0,0
"47",13.3604,0,0,4600.66,16808.79,300,1000.03,1500.07,0,0,100,0,0,0,300,900.03,0,0,100,100,0,0,0,0,0
"48",13.6434,0,0,5400.9,15707.68,0,800.02,1100.04,0,0,0,0,100,100,400.01,200,0,200,300,0,0,0,0,0,100
"49",13.9264,0,100,3100.3,19611.96,300,1100.04,900.03,0,0,0,0,0,100,600.01,700.02,0,100,100,200,0,0,0,0,0
"50",14.2095,0,0,3700.42,20513.09,100,400.01,1000.03,0,0,0,0,0,100,0,800.02,0,0,0,0,0,0,0,0,0
"51",14.4925,0,100,4500.63,19311.6,500.01,1400.06,700.02,0,0,0,100,0,0,600.01,500.01,0,0,0,0,0,0,0,0,0
"52",14.7755,0,0,4400.6,18911.13,200,900.03,1600.08,200,0,0,0,0,0,800.02,500.01,0,0,0,300,0,0,0,100,0
"53",15.0585,0,0,5500.94,17909.98,300,400.01,1100.04,0,100,0,0,100,0,100,800.02,0,300,0,200,0,100,0,0,0
"54",15.3416,0,0,4700.68,22415.63,200,800.02,1100.04,0,100,0,100,0,0,700.02,500.01,100,200,100,0,0,0,0,0,0
"55",15.6246,0,0,4600.66,17209.21,200,1000.03,1200.05,0,0,0,0,100,0,200,500.01,100,100,0,100,0,0,0,0,0
"56",15.9076,0,300,4700.68,19111.36,500.01,900.03,1300.05,200,0,0,0,0,0,400.01,900.03,0,300,100,400.01,0,0,0,0,0
"57",16.1906,0,0,5600.97,19211.48,300,500.01,1000.03,0,0,100,0,0,0,100,900.03,0,200,0,300,0,0,0,0,0
"58",16.4737,0,0,3700.42,22615.91,100,700.02,1200.05,0,0,0,0,0,0,400.01,700.02,0,100,200,300,0,0,0,0,0
"59",16.7567,0,0,3800.45,20412.96,0,900.03,1100.04,100,0,0,0,0,100,500.01,500.01,0,500.01,0,300,0,0,0,0,0
"60",17.0397,0,200,4200.55,19812.21,200,1000.03,1200.05,0,0,0,0,100,100,200,300,0,100,100,100,0,0,0,0,0
"61",17.3227,100,0,4400.6,17809.87,100,600.01,1100.04,300,0,0,0,0,0,400.01,400.01,0,0,100,100,0,0,0,0,0
"62",17.6058,0,0,4000.5,18110.2,100,1200.04,800.02,100,0,0,100,0,0,600.01,900.03,0,100,0,0,0,200,0,0,0
"63",17.8888,0,100,6001.11,20412.96,200,700.02,1100.04,0,100,0,0,0,0,300,800.02,0,100,0,100,0,0,0,100,0
"64",18.1718,0,100,5200.84,18110.2,0,1200.04,1200.05,0,0,200,100,0,0,200,600.01,0,100,100,500.01,0,0,0,0,0
"65",18.4548,0,0,3500.38,19211.48,200,800.02,900.03,0,0,0,0,0,100,400.01,600.01,0,100,200,500.01,0,0,0,0,0
"66",18.7379,0,0,4300.57,19712.09,200,900.03,1100.04,0,0,0,0,0,0,100,600.01,0,100,100,500.01,0,0,0,100,0
"67",19.0209,0,0,4200.55,18110.2,200,900.03,1500.07,100,0,100,100,0,0,1000.03,400.01,100,200,100,200,100,0,0,0,0
"68",19.3039,100,0,5100.81,18010.09,200,700.02,600.01,0,0,0,0,0,0,200,900.03,0,100,100,400.01,0,0,0,0,0
"69",19.5869,0,0,4400.6,19712.09,100,800.02,1500.07,0,0,0,100,100,0,400.01,800.02,100,0,100,100,0,0,0,0,0
"70",19.8699,0,100,4900.74,18310.43,300,900.03,1100.04,100,100,100,0,100,0,700.02,400.01,100,200,0,100,0,0,0,0,0
"71",20.153,0,100,5000.77,21914.94,400.01,500.01,1500.07,0,0,0,0,100,0,100,800.02,0,100,0,300,0,0,0,0,0
"72",20.436,0,100,5400.9,19511.84,500.01,1100.04,700.02,100,0,100,0,0,0,700.02,500.01,0,200,0,100,0,0,0,0,0
"73",20.719,0,0,4000.5,18110.2,200,1000.03,1500.07,0,0,0,0,0,0,300,700.02,0,100,0,300,0,0,0,0,0
"74",21.002,0,100,4500.63,21314.13,0,900.03,1700.09,0,0,0,200,0,0,200,700.02,0,100,200,200,0,0,0,0,0
"75",21.2851,0,0,5000.77,16508.48,300,900.03,1400.06,0,0,0,100,0,0,100,200,0,200,100,300,0,0,0,0,0
"76",21.5681,100,0,3500.38,20412.96,100,800.02,900.03,0,0,0,0,0,0,500.01,1100.04,0,0,100,100,0,0,0,0,0
"77",21.8511,0,0,3500.38,18610.77,300,700.02,1100.04,0,0,0,0,0,0,500.01,500.01,0,400.01,100,200,0,0,0,0,0
"78",22.1341,200,100,2700.23,19411.72,0,1000.03,900.03,0,0,0,100,100,0,400.01,600.01,0,400.01,100,100,0,0,0,0,100
"79",22.4172,0,0,5000.77,19712.09,200,1000.03,900.03,0,0,0,0,0,0,300,400.01,0,100,0,0,0,0,0,0,0
"80",22.7002,0,0,4000.5,20312.84,200,1000.03,1900.11,0,0,0,100,100,100,800.02,800.02,100,100,0,100,0,0,0,0,0
"81",22.9832,100,100,4200.55,16508.48,0,1100.04,1300.05,0,0,100,0,0,0,500.01,600.01,0,100,0,100,0,0,0,0,0
"82",23.2662,0,0,4700.68,19411.72,300,1200.04,1200.05,0,100,0,0,0,100,500.01,600.01,0,100,0,500.01,0,0,0,0,0
"83",23.5493,0,0,4500.63,20513.09,400.01,1000.03,900.03,0,0,0,0,0,100,200,800.02,100,200,0,300,0,0,0,0,0
"84",23.8323,0,100,2800.24,19511.84,100,900.03,700.02,100,0,0,0,0,0,300,800.02,100,100,0,200,0,0,0,200,0
"85",24.1153,0,0,3600.4,20112.58,100,900.03,1400.06,0,0,0,0,0,100,600.01,300,100,100,100,100,0,0,0,0,0
"86",24.3983,0,0,4200.55,17909.98,200,1400.06,1400.06,0,0,0,0,0,0,200,600.01,0,200,200,300,0,0,0,0,0
"87",24.6814,0,0,3600.4,20412.96,400.01,1100.04,800.02,0,0,0,100,0,100,600.01,400.01,0,100,100,500.01,0,0,0,0,0
"88",24.9644,0,0,3900.47,19311.6,100,700.02,900.03,100,0,0,0,0,0,500.01,700.02,0,100,0,100,0,0,0,0,0
"89",25.2474,0,100,3600.4,17109.11,300,800.02,1700.09,0,0,100,100,0,0,800.02,600.01,0,100,200,100,0,0,0,0,0
"90",25.5304,0,0,5200.84,19712.09,100,1100.04,700.02,200,0,100,0,0,0,300,600.01,0,200,0,200,0,0,0,0,0
"91",25.8134,0,100,3400.36,19712.09,200,1000.03,900.03,0,0,0,0,0,200,500.01,700.02,0,200,200,100,0,0,0,0,0
"92",26.0965,0,100,4400.6,19611.96,500.01,600.01,1100.04,0,0,0,0,0,0,600.01,900.03,0,100,100,200,0,0,0,0,0
"93",26.3795,0,100,4400.6,19712.09,200,700.02,700.02,0,0,0,0,0,0,600.01,800.02,0,0,300,400.01,0,0,0,0,0
"94",26.6625,0,0,4600.66,16708.69,0,1000.03,800.02,0,0,0,0,100,100,400.01,700.02,0,400.01,0,400.01,0,0,0,0,200
"95",26.9455,0,0,5200.84,18310.43,200,700.02,900.03,0,0,0,0,0,0,400.01,600.01,0,100,0,200,0,100,0,0,0
"96",27.2286,100,200,3900.47,18310.43,200,1300.05,1000.03,0,0,100,0,0,100,600.01,900.03,0,100,100,100,0,0,0,0,0
"97",27.5116,0,200,4600.66,21714.67,500.01,700.02,1200.05,0,0,0,100,100,100,700.02,900.03,0,100,100,400.01,0,0,0,0,100
"98",27.7946,0,400,3800.45,19111.36,200,1200.04,1200.05,0,0,0,0,0,0,300,700.02,0,500.01,100,300,0,0,0,0,100
"99",28.0776,0,200,3300.34,19411.72,200,1200.04,1000.03,0,0,100,0,0,300,800.02,500.01,0,0,200,300,0,0,0,0,0
"100",28.3607,0,100,3300.34,21214,400.01,700.02,1100.04,0,0,0,0,0,0,600.01,500.01,100,100,100,400.01,0,0,0,0,0
"101",28.6437,100,0,4900.74,20012.46,100,1300.05,800.02,0,0,0,0,200,0,100,800.02,0,200,0,400.01,0,0,0,0,0
"102",28.9267,0,0,3900.47,20212.71,500.01,1800.1,1000.03,0,0,0,0,0,0,400.01,600.01,0,100,100,400.01,0,0,0,0,0
"103",29.2097,0,100,3700.42,18410.54,100,600.01,1700.09,0,0,0,0,0,0,400.01,400.01,0,100,100,100,0,0,0,0,0
"104",29.4928,0,100,4800.71,17409.43,200,700.02,1300.05,0,100,0,0,0,0,500.01,300,0,200,0,500.01,0,0,0,100,100
"105",29.7758,0,100,4200.55,20312.84,400.01,900.03,1600.08,100,0,0,0,0,0,500.01,600.01,0,400.01,200,300,0,0,0,0,0
"106",30.0588,100,100,4700.68,17109.11,200,800.02,900.03,100,0,0,0,0,0,400.01,500.01,0,100,300,300,0,0,0,0,0
"107",30.3418,100,0,3800.45,17009,0,900.03,1900.11,0,0,0,0,0,0,300,600.01,0,100,200,100,0,0,0,0,0
"108",30.6249,0,100,3800.45,19311.6,200,1100.04,1000.03,0,0,100,0,0,0,500.01,900.03,0,300,0,0,0,0,0,0,100
"109",30.9079,0,0,5701.01,18010.09,200,1300.05,1100.04,0,0,0,0,0,0,100,700.02,0,200,0,100,0,0,0,100,0
"110",31.1909,0,0,4600.66,19712.09,100,1400.06,1200.05,0,0,0,100,0,0,400.01,800.02,0,200,100,100,0,0,0,100,0
