"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"152",43.0779,4600.65,250322.49,7318547.04,24118.09,500.01,3500.38,4700.69,0,500.01,100,3900.48,2200.15,4600.67,5500.95,120158.96,2392576.42,3300.36,400.01,1000.03,8002.12,48678.33,400.01,1300.06,3100.33
"153",43.3609,5901.06,282546.91,7541600.17,24618.85,100,1900.11,5400.91,200,200,100,3100.3,1300.05,4600.67,5400.92,126811.09,2388502.01,1100.04,100,1100.04,10503.65,54197.08,0,2300.18,7802.11
"154",43.644,6301.21,317792.07,8157614.24,25019.47,900.03,3700.43,5100.81,200,300,0,3300.34,1600.08,5400.92,5400.92,124190.22,2571120.37,1000.03,500.01,700.02,8802.56,47273.88,0,2700.25,2500.22
"155",43.927,4300.56,313101.91,7963455.65,21113.87,200,3100.3,5500.95,300,400.01,200,6901.49,3300.34,8202.12,6701.41,128524.97,2463763.14,1000.03,400.01,1000.03,9703.11,51086.27,0,1000.03,1700.1
"156",44.21,6701.37,312082.5,7973482.99,24518.7,300,2400.18,6401.28,0,200,100,7501.77,2600.21,4500.64,6001.13,140729.15,2747647.72,300,0,900.03,9002.68,59818.24,0,1000.03,1400.07
"157",44.493,4400.59,365688.39,9202831.46,21614.53,500.01,2400.18,9402.76,100,600.01,0,14606.69,2500.2,3600.41,4300.58,159810.84,2894081.71,200,500.01,700.02,9803.18,58312.37,100,200,1000.03
"158",44.7761,6001.1,356792.98,8866688.48,21113.87,100,1300.05,6501.32,100,500.01,0,2100.14,1300.05,1800.1,4400.61,150519.51,2897558.46,200,400.01,500.01,9002.68,55301.08,0,300,500.01
"159",45.0591,2300.16,377351.79,8603125.19,21113.87,300,1700.09,7201.62,100,100,0,200,1600.08,1500.07,4000.5,142747.29,2905178.97,300,200,700.02,9002.68,59316.27,0,500.01,500.01
"160",45.3421,6501.29,355055.35,9434662.71,23417.06,200,2300.17,6901.49,200,100,0,1200.05,700.02,2200.15,4000.5,161932.45,3010686.59,100,0,700.02,9002.68,62730.02,0,500.01,1000.03
"161",45.6251,2000.12,371416.73,9644826.78,22615.91,500.01,1500.07,6901.49,200,0,0,1200.05,100,1400.06,3800.45,135684.95,2807375.65,100,200,200,8402.34,50785.26,0,100,700.02
"162",45.9082,1700.09,318199.98,7770339.24,23417.06,200,900.03,5400.91,200,200,0,300,200,600.01,3300.34,133264.31,2681453.38,100,100,200,7001.62,50584.58,0,0,200
"163",46.1912,1500.07,326258.19,8256615.03,21013.73,200,1900.11,5300.88,0,100,0,400.01,300,400.01,3700.43,142040.91,2748162.37,200,100,200,9002.68,58312.37,0,200,300
"164",46.4742,1400.06,359962.04,8662768.94,21814.8,200,1900.11,4600.66,200,400.01,0,800.02,100,900.03,3300.34,143251.86,2951069.99,600.01,100,1300.06,9703.11,60320.23,0,1100.04,700.02
"165",46.7572,3800.44,405418.93,10004504.91,20412.96,400.01,3100.3,5701.02,200,500.01,0,1700.09,1000.03,3600.41,5600.99,170725.05,3378301.64,700.02,200,700.02,9703.11,65541.93,0,400.01,900.03
"166",47.0402,3800.44,397321.64,10411822.11,21614.53,200,2800.24,6401.28,100,0,100,1800.1,600.01,1900.11,4600.67,160619.03,3081748.12,600.01,100,200,10703.79,56806.65,0,500.01,700.02
"167",47.3233,1800.1,330952.13,8952764.26,23016.48,0,1200.04,4500.63,0,0,200,200,200,1100.04,3200.32,132255.83,2718569.59,200,100,300,8002.12,56003.66,0,200,300
"168",47.6063,2300.16,325544.03,8489658.78,20513.09,100,1700.09,4300.58,200,0,100,0,100,900.03,4000.5,153245.74,2887740.49,200,200,400.01,8502.39,58513.14,0,300,200
"169",47.8893,1800.1,358121.86,8806765.82,20713.35,300,1000.03,6001.13,200,0,0,200,0,1000.03,2900.26,138913.05,2822005.14,200,300,500.01,9102.74,53996.36,0,0,300
"170",48.1723,1100.04,353624.5,8734597.85,21914.94,0,1400.06,5300.88,0,0,0,200,100,200,3400.36,141031.85,2744296.35,400.01,0,600.01,8002.12,52691.77,0,100,100
"171",48.4554,1300.05,351478.47,9804077.56,21214,200,1200.04,4600.66,100,300,0,100,0,400.01,2800.25,127718.41,2639038.93,0,100,300,6401.36,51487.63,0,100,100
"172",48.7384,1200.04,322381.6,8553485.35,19411.72,300,1500.07,5300.88,100,0,0,100,0,500.01,2700.23,134676.31,2694567.05,200,100,700.02,7802.01,47775.46,0,0,0
"173",49.0214,700.01,327176.47,8357920.5,18510.66,200,1500.07,3100.3,100,0,0,100,0,200,2600.21,118546.76,2544573.1,300,300,600.01,7001.62,44866.55,0,0,200
"174",49.3044,700.01,334524.52,7958072.05,20813.48,200,1000.03,4000.5,100,100,0,0,200,400.01,2900.26,123787.05,2381771.15,200,200,200,9002.68,45668.96,0,100,0
