"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.907,600.01,400,4600.66,19611.96,500.01,600.01,700.02,100,100,300,300,200,600.01,700.02,500.01,100,600.01,300,400.01,500.01,200,400.01,200,400.01
"4",1.1901,500.01,200,4700.68,21013.73,400.01,1300.05,600.01,200,300,300,100,200,200,800.02,600.01,400.01,200,400.01,800.02,300,400.01,400.01,600.01,400.01
"5",1.4731,100,300,3900.47,21113.87,700.02,1200.04,700.02,200,300,300,400.01,400.01,300,200,700.02,100,400.01,600.01,600.01,300,400.01,400.01,300,200
"6",1.7561,200,100,4300.57,20713.35,600.01,700.02,1400.06,200,200,300,100,200,400.01,800.02,200,200,300,200,100,300,100,100,200,100
"7",2.0391,200,300,3600.4,22615.91,200,1100.04,1700.09,500.01,100,500.01,200,300,400.01,700.02,600.01,300,300,400.01,600.01,0,100,400.01,400.01,500.01
"8",2.3222,0,200,4600.66,19411.72,700.02,800.02,1000.03,300,200,200,200,400.01,400.01,400.01,1000.03,500.01,400.01,0,200,200,0,300,300,300
"9",2.6052,400,400,4600.66,20312.84,700.02,800.02,1300.05,200,500.01,300,200,400.01,200,700.02,800.02,200,200,100,200,200,400.01,400.01,100,300
"10",2.8882,400,200,3700.42,18210.32,100,700.02,900.03,300,400.01,100,200,200,300,300,300,200,300,600.01,500.01,200,200,300,200,0
"11",3.1712,0,400,2600.21,19611.96,700.02,700.02,1600.08,200,500.01,100,200,300,200,900.03,700.02,100,0,300,300,200,200,400.01,500.01,200
"12",3.4543,300,100,5200.84,19912.33,700.02,700.02,1400.06,200,200,100,100,400.01,300,500.01,800.02,300,400.01,200,400.01,200,200,500.01,300,400.01
"13",3.7373,100,300,4600.66,19411.72,200,500.01,1200.05,700.02,400.01,0,100,200,300,600.01,900.03,800.02,200,500.01,600.01,400.01,400.01,300,200,100
"14",4.0203,100,0,4500.63,20613.22,600.01,900.03,900.03,300,400.01,0,300,300,0,1000.03,800.02,100,400.01,200,500.01,100,200,300,100,300
"15",4.3033,200,200,3200.32,19311.6,600.01,1700.09,800.02,100,600.01,400.01,100,100,300,400.01,300,700.02,200,300,300,200,200,300,300,0
"16",4.5863,200,0,2900.26,21614.53,300,900.03,1600.08,300,200,200,200,100,100,400.01,800.02,500.01,1100.04,200,500.01,500.01,100,100,100,0
"17",4.8694,200,300,5600.97,19611.96,400.01,1200.04,800.02,100,300,200,400.01,400.01,200,400.01,1200.05,200,200,100,200,400.01,200,100,300,300
"18",5.1524,500.01,500.01,3600.4,20012.46,500.01,1300.05,1100.04,500.01,200,0,100,300,300,1100.04,600.01,0,200,200,600.01,300,300,300,100,200
"19",5.4354,0,400,4300.57,21914.94,200,1300.05,500.01,400.01,200,300,500.01,400.01,200,700.02,900.03,100,100,100,400.01,300,100,200,300,200
"20",5.7185,200,400,4600.66,21113.87,200,700.02,600.01,400.01,200,300,200,200,200,600.01,900.03,0,900.03,300,300,100,400.01,0,0,200
"21",6.0015,300,500.01,3300.34,18610.77,500.01,800.02,900.03,200,100,700.02,100,200,0,700.02,700.02,200,600.01,600.01,600.01,200,300,400.01,200,0
"22",6.2845,400,300,4200.55,16108.07,500.01,1300.05,600.01,400.01,100,500.01,600.01,200,300,700.02,500.01,200,500.01,300,300,100,300,400.01,300,0
"23",6.5675,200,500.01,4900.74,18911.13,800.02,700.02,1700.09,400.01,300,300,100,100,100,600.01,1100.04,300,200,400.01,300,300,300,0,300,300
"24",6.8505,200,600.01,5000.77,21113.87,400.01,1200.04,1200.05,100,900.03,300,300,100,200,700.02,400.01,300,300,300,500.01,300,400.01,300,600.01,300
"25",7.1336,500.01,200,3900.47,22615.91,700.02,1100.04,1100.04,600.01,0,200,500.01,100,100,600.01,600.01,100,500.01,400.01,400.01,200,300,200,300,200
"26",7.4166,300,100,4700.68,20613.22,600.01,1000.03,1300.05,0,500.01,200,100,200,300,200,400.01,200,100,300,100,200,200,200,300,300
"27",7.6996,200,100,4400.6,19411.72,200,1400.06,1300.05,300,300,100,200,0,300,700.02,800.02,100,300,100,500.01,400.01,100,200,400.01,200
"28",7.9826,200,400,5000.77,18811.01,600.01,900.03,1500.07,300,200,500.01,200,100,300,1100.04,800.02,500.01,400.01,600.01,500.01,200,0,400.01,200,300
"29",8.2657,300,200,4000.5,17909.98,900.03,1100.04,1500.07,100,300,200,400.01,700.02,300,200,500.01,500.01,700.02,500.01,700.02,100,700.02,400.01,300,400.01
"30",8.5487,200,100,4700.68,18811.01,900.03,1000.03,900.03,300,100,200,200,300,300,800.02,400.01,0,400.01,200,600.01,300,200,300,300,200
"31",8.8317,300,100,4300.57,18410.54,400.01,1100.04,500.01,100,200,200,200,200,400.01,400.01,700.02,200,500.01,200,300,600.01,0,100,300,200
"32",9.1147,100,100,4800.71,19712.09,200,1200.04,1400.06,0,600.01,0,500.01,100,300,500.01,900.03,100,800.02,800.02,100,200,200,300,200,100
"33",9.3978,0,400,4400.6,18811.01,300,1300.05,800.02,500.01,100,200,200,0,100,200,700.02,500.01,400.01,0,500.01,100,400.01,100,100,200
"34",9.6808,200,400,4100.52,18510.66,700.02,500.01,1500.07,200,300,300,200,400.01,100,400.01,1100.04,0,900.03,400.01,400.01,100,200,300,100,300
