"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"113",32.0397,19411.49,257839.21,6227169.28,26021.06,700.02,10203.25,13906.04,200,2500.2,500.01,6501.33,3400.36,8802.44,7101.59,98005.54,814776.29,2200.16,700.02,2700.24,4700.73,31332.47,700.02,3900.53,3700.48
"114",32.3227,7001.49,330645.95,9067575.98,26922.54,500.01,5500.94,12104.58,800.02,500.01,300,2300.17,600.01,4800.72,4500.64,111394.57,2154290.87,1200.05,300,1600.08,4900.79,28827.49,200,2200.17,2200.17
"115",32.6057,6601.33,400703.55,9958926.79,21814.8,400.01,2700.23,5000.78,100,900.03,400.01,2100.14,1500.07,4300.58,4300.58,124795,2517441.66,1000.03,300,1100.04,3800.48,23317.99,300,4000.56,2400.2
"116",32.8887,4400.59,406341.64,10530684.61,25019.47,400.01,2900.26,7501.76,600.01,300,800.02,1100.04,600.01,3900.48,3500.39,116531.73,2378266.85,800.02,400.01,700.02,2000.13,20413.79,0,1700.1,2200.17
"117",33.1718,3100.29,376942.39,9979115.07,25019.47,500.01,2900.26,4100.53,600.01,200,200,1400.06,600.01,2100.14,2600.21,117136.21,2499975.25,600.01,200,800.02,3600.43,20814.33,300,700.02,800.02
"118",33.4548,2700.22,418547.08,9540260.37,20212.71,400.01,2000.12,4600.66,300,100,300,1500.07,400.01,2200.15,2000.13,121469.01,2383676.42,800.02,400.01,600.01,2700.24,18911.84,0,600.01,1500.08
"119",33.7378,2300.16,392403.72,9552166.62,21214,600.01,2300.17,5100.81,300,400.01,0,400.01,400.01,2700.23,2500.2,114416.23,2426021.34,600.01,100,900.03,2200.16,15908.37,300,600.01,600.01
"120",34.0208,1400.06,402856.06,10137274.45,23417.06,700.02,1800.1,4100.53,300,500.01,500.01,500.01,500.01,900.03,2000.13,107064.54,2184147.9,200,500.01,400.01,2400.19,16008.48,100,400.01,600.01
"121",34.3039,1200.04,409827.99,9942315.07,26321.55,1200.04,1500.07,4500.63,400.01,300,100,500.01,300,700.02,1300.05,104144.96,2300850.05,800.02,500.01,900.03,2700.24,18411.22,300,300,800.02
"122",34.5869,1000.03,369984.46,9271277.55,22615.91,600.01,1400.06,5100.81,500.01,400.01,300,500.01,600.01,1700.09,1800.1,112804.6,2448118.41,300,400.01,1200.05,3100.32,17810.5,0,300,600.01
"123",34.8699,1200.04,397424.11,9602304.12,22716.05,800.02,1300.05,3800.45,300,200,100,500.01,300,1200.05,1000.03,109279.75,2224573.68,600.01,500.01,600.01,2800.26,16509.02,400.01,500.01,600.01
"124",35.1529,1600.08,382060.43,9655666.62,20412.96,600.01,900.03,4800.72,300,400.01,500.01,400.01,200,600.01,900.03,110991.73,2185927.78,500.01,100,700.02,2600.22,17510.15,300,400.01,600.01
"125",35.436,1100.04,359553.08,9643008.03,21314.13,200,1500.07,3900.48,500.01,500.01,300,300,0,700.02,1500.07,98307.43,2095633.84,1000.03,300,400.01,3400.38,15107.55,100,100,500.01
"126",35.719,300,375919,9008175.98,21814.8,600.01,1700.09,5400.91,400.01,200,500.01,100,100,1100.04,1500.07,99112.48,1958211.18,500.01,200,700.02,2400.19,15708.17,500.01,200,700.02
"127",36.002,900.02,356179.65,9023962.7,20513.09,500.01,1300.05,4400.61,500.01,300,500.01,600.01,100,1000.03,1800.1,101326.57,2171534.81,400.01,200,200,1900.12,15107.55,200,400.01,300
"128",36.285,1300.05,356281.87,9200588.49,21614.53,600.01,1400.06,4600.66,600.01,200,400.01,500.01,400.01,500.01,1400.06,98810.59,2081421.53,1000.03,300,600.01,2200.16,16408.91,400.01,800.02,0
"129",36.5681,800.02,371416.73,9997375.22,21614.53,400.01,1000.03,4900.75,600.01,400.01,300,0,400.01,1400.06,1800.1,103742.3,2080086.57,200,0,300,2800.26,16108.59,500.01,400.01,500.01
"130",36.8511,100,411263.73,10357417.42,21214,200,1700.09,4900.75,100,200,100,500.01,400.01,400.01,1600.08,113207.49,2114045.95,300,500.01,200,2900.28,18010.73,200,200,500.01
"131",37.1341,200,376635.38,9980993.97,20112.58,200,1400.06,5600.98,100,400.01,200,500.01,300,500.01,1000.03,103742.3,2118440.28,200,300,900.03,2600.22,16609.13,400.01,600.01,500.01
"132",37.4171,700.01,363745.3,10152903.35,20112.58,400.01,1600.08,4200.55,400.01,500.01,200,100,400.01,600.01,2100.14,97904.92,1806826.41,300,400.01,400.01,2100.15,17009.57,500.01,300,900.03
