"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.8889,14162.9858333333,402414.386759259,10570074.0771296,17092.4769444444,1157.49083333333,8104.55611111111,14712.6640740741,NA,1135.25583333333,NA,13801.6930555556,5185.24166666667,14651.6153703704,10361.3307407407,153604.871944444,2566339.82481481,2369.70277777778,746.3375,2031.68796296296,8044.9737962963,34807.7287962963,NA,8072.87194444445,12688.3594444444
"2",33.1719,11160.5858333333,433400.666759259,10887241.2671296,108260.556944444,NA,18213.6661111111,11910.0940740741,NA,1035.24583333333,NA,12500.5830555556,5085.20166666667,13450.5153703704,14464.7607407407,135336.371944444,2333867.16481481,2269.69277777778,1046.3575,3532.01796296296,3243.0337962963,34807.7287962963,773.19,5371.53194444444,10886.8394444444
"3",33.455,21070.5858333333,489262.196759259,10285413.9071296,10578.7069444444,NA,6303.59611111111,7106.82407407407,NA,1235.26583333333,NA,6696.94305555556,3284.68166666667,30574.6853703704,18869.6107407407,119003.541944444,2545382.99481481,1969.63277777778,746.3375,3031.88796296296,2842.9437962963,20681.4087962963,NA,7872.75194444444,5783.73944444444
"4",33.738,12061.2458333333,393498.736759259,11094422.5171296,6972.22694444445,NA,3202.42611111111,7507.04407407407,NA,1235.26583333333,NA,7897.52305555556,3484.73166666667,10348.1053703704,6959.30074074074,136647.771944444,2411353.49481481,NA,646.3275,1131.55796296296,4143.2837962963,20280.8587962963,NA,3270.84194444444,2982.79944444444
"5",34.021,7158.23583333333,469385.386759259,10480493.5971296,NA,857.460833333333,2502.24611111111,6106.32407407407,4654.50518518519,NA,1470.47212962963,3995.97305555556,2184.46166666667,6045.76537037037,10361.3307407407,130293.561944444,2428360.91481481,869.492777777778,646.3275,931.537962962963,1842.7637962963,15975.5687962963,NA,1570.50194444444,1182.48944444444
"6",34.304,4557.23583333333,409386.316759259,9986457.65712963,NA,NA,1402.02611111111,4405.61407407407,NA,NA,NA,2395.61305555556,1484.36166666667,3244.86537037037,3057.86074074074,122631.591944444,2308334.93481481,NA,746.3375,731.527962962963,1842.7637962963,17377.1587962963,NA,970.431944444444,1882.57944444444
"7",34.5871,2956.82583333333,448299.006759259,9981183.43712963,5069.12694444444,NA,NA,5105.88407407407,NA,NA,NA,1195.44305555556,884.301666666667,2344.68537037037,2257.68074074074,142197.191944444,2451403.69481481,NA,NA,NA,1642.7337962963,14774.3087962963,NA,NA,882.459444444444
"8",34.8701,2756.78583333333,413078.546759259,10676131.8871296,NA,NA,NA,3105.19407407407,NA,NA,NA,1895.53305555556,984.311666666667,2544.71537037037,2257.68074074074,124042.721944444,2315343.92481481,NA,NA,731.527962962963,2942.9637962963,16275.8987962963,NA,NA,682.439444444444
"9",35.1531,3356.91583333333,436892.856759259,10427943.5971296,NA,NA,NA,8507.62407407407,NA,NA,NA,1395.46305555556,684.291666666667,2444.69537037037,2857.81074074074,123437.941944444,2594069.12481481,NA,NA,NA,1342.6937962963,15174.7187962963,NA,NA,782.449444444444
"10",35.4361,2856.80583333333,451177.526759259,11140000.6471296,NA,NA,1502.03611111111,3805.41407407407,NA,NA,NA,1095.43305555556,884.301666666667,2844.77537037037,6559.11074074074,131806.231944444,2836874.40481481,NA,NA,1731.63796296296,2742.9237962963,18979.1287962963,NA,NA,NA
"11",35.7192,2856.80583333333,431757.556759259,10384463.1271296,NA,NA,1201.98611111111,6206.36407407407,NA,NA,NA,NA,NA,1744.58537037037,3357.94074074074,107922.991944444,2282190.99481481,NA,NA,NA,3343.0637962963,18578.6187962963,NA,NA,682.439444444444
"12",36.0022,1656.60583333333,453645.206759259,10802353.7671296,NA,NA,NA,4205.54407407407,NA,NA,NA,NA,NA,1244.52537037037,1457.55074074074,129486.861944444,2498323.81481481,NA,NA,NA,3443.0837962963,19279.5187962963,NA,NA,NA
"13",36.2852,3156.87583333333,447887.876759259,11023236.5871296,NA,NA,NA,3205.22407407407,NA,NA,NA,NA,NA,1844.60537037037,1157.51074074074,133218.201944444,2473097.63481481,NA,NA,NA,3243.0337962963,20581.2687962963,NA,NA,NA
"14",36.5682,956.535833333333,437303.746759259,10865016.2671296,5269.44694444444,NA,NA,4205.54407407407,NA,NA,NA,NA,NA,644.47537037037,NA,132411.351944444,2249358.17481481,NA,NA,NA,3643.1437962963,22484.0387962963,NA,NA,NA
"15",36.8512,NA,452514.146759259,10882088.1371296,NA,NA,NA,3205.22407407407,NA,NA,NA,NA,NA,644.47537037037,1457.55074074074,127268.661944444,2488937.09481481,NA,NA,NA,3042.9937962963,21081.9787962963,NA,NA,NA
"16",37.1343,NA,475768.056759259,11023078.7671296,NA,NA,NA,3205.22407407407,NA,NA,NA,NA,NA,NA,NA,131604.541944444,2676102.72481481,NA,NA,NA,3042.9937962963,23786.0687962963,NA,NA,NA
"17",37.4173,NA,451691.586759259,11317584.2471296,NA,NA,1101.97611111111,4205.54407407407,NA,NA,770.41212962963,NA,NA,NA,957.480740740741,133621.641944444,2594347.25481481,NA,NA,NA,5043.5837962963,24687.5387962963,NA,NA,NA
"18",37.7003,NA,508647.206759259,11466686.5971296,NA,NA,NA,3405.28407407407,NA,NA,NA,NA,NA,NA,NA,130999.461944444,2440960.13481481,NA,NA,NA,3443.0837962963,25589.0587962963,NA,NA,782.449444444444
"19",37.9833,NA,463828.306759259,11350564.7171296,NA,NA,NA,3105.19407407407,NA,NA,NA,NA,NA,NA,1357.53074074074,130495.251944444,2427888.06481481,NA,NA,NA,3743.1637962963,27793.0187962963,NA,NA,NA
"20",38.2664,756.515833333333,478342.416759259,11389825.6571296,NA,NA,NA,4305.58407407408,NA,NA,NA,NA,NA,NA,1257.52074074074,125756.421944444,2296500.75481481,NA,NA,NA,3143.0137962963,25989.7587962963,NA,NA,NA
"21",38.5494,NA,405387.336759259,10666770.9471296,NA,NA,NA,4305.58407407408,NA,NA,NA,NA,NA,NA,NA,116585.301944444,2174444.50481481,NA,NA,NA,4943.5537962963,25989.7587962963,NA,NA,NA
"22",38.8324,NA,425802.576759259,10450290.4771296,NA,NA,NA,3805.41407407407,NA,NA,NA,NA,NA,NA,1357.53074074074,112455.001944444,2265114.03481481,NA,NA,NA,5543.7737962963,26690.9987962963,NA,NA,NA
"23",39.1154,NA,473091.146759259,11334644.3971296,NA,NA,NA,5205.92407407407,NA,NA,NA,NA,NA,NA,NA,124445.931944444,2258286.10481481,NA,NA,NA,3143.0137962963,24587.3687962963,NA,NA,NA
"24",39.3985,NA,456524.646759259,11549924.8771296,NA,NA,NA,4005.47407407407,NA,NA,NA,NA,NA,NA,NA,113563.021944444,2206234.54481481,NA,NA,NA,3143.0137962963,24286.8787962963,NA,NA,NA
"25",39.6815,NA,439872.106759259,10826870.9571296,NA,NA,NA,2405.01407407407,NA,NA,NA,NA,NA,NA,NA,109836.351944444,2133406.81481481,NA,NA,NA,3643.1437962963,21983.2887962963,NA,NA,NA
"26",39.9645,NA,421491.736759259,10247256.0971296,NA,NA,NA,3905.44407407407,NA,NA,NA,NA,NA,NA,1157.51074074074,97655.2819444444,1982620.08481481,NA,NA,NA,3743.1637962963,19980.4487962963,NA,NA,NA
"27",40.2475,NA,392679.136759259,9918509.21712963,NA,NA,NA,2705.09407407407,NA,NA,NA,NA,NA,NA,957.480740740741,101379.071944444,1980854.07481481,NA,NA,NA,3343.0637962963,18778.8787962963,NA,NA,NA
"28",40.5306,NA,418002.766759259,9750516.23712963,NA,NA,NA,4505.65407407407,NA,NA,NA,NA,NA,NA,NA,105607.141944444,2067949.58481481,NA,NA,NA,3743.1637962963,20380.9887962963,NA,NA,NA
"29",40.8136,NA,422723.276759259,10178276.4071296,4568.34694444445,NA,1101.97611111111,2405.01407407407,NA,NA,NA,NA,NA,NA,1057.49074074074,113663.751944444,2105135.12481481,NA,NA,NA,2842.9437962963,21582.6987962963,NA,NA,NA
"30",41.0966,NA,433297.986759259,10205545.9371296,NA,NA,NA,4205.54407407407,NA,NA,NA,NA,NA,NA,NA,95542.1719444444,1920764.61481481,NA,NA,NA,2042.7937962963,17477.2687962963,NA,NA,NA
"31",41.3796,NA,400261.876759259,9801028.74712963,NA,NA,NA,3305.25407407407,NA,NA,NA,NA,NA,NA,957.480740740741,93529.9519444444,1788737.46481481,NA,NA,NA,2942.9637962963,16275.8987962963,NA,NA,NA
"32",41.6627,NA,384485.536759259,9538970.14712963,NA,NA,NA,2905.14407407407,NA,NA,NA,NA,NA,NA,957.480740740741,94234.2019444444,1762065.20481481,NA,NA,NA,1442.7037962963,14273.8187962963,NA,NA,NA
"33",41.9457,NA,355942.416759259,8743359.18712963,NA,NA,NA,4605.69407407407,NA,NA,NA,NA,NA,NA,NA,90109.7719444445,1738368.71481481,NA,NA,NA,1442.7037962963,15475.0287962963,NA,NA,NA
"34",42.2287,NA,372714.416759259,8924386.53712963,NA,NA,NA,3005.17407407407,NA,NA,NA,NA,NA,NA,NA,93328.7419444445,1708553.48481481,NA,NA,NA,1542.7137962963,15475.0287962963,NA,NA,NA
"35",42.5117,NA,382028.256759259,9835827.95712963,NA,NA,NA,2304.99407407407,NA,NA,NA,NA,NA,NA,NA,102687.631944444,1911878.48481481,NA,NA,NA,1642.7337962963,17277.0387962963,NA,NA,NA
"36",42.7948,NA,398519.586759259,10058953.7471296,NA,NA,NA,3605.34407407407,NA,NA,NA,NA,NA,NA,NA,102989.621944444,2100295.87481481,NA,NA,NA,2042.7937962963,16476.1187962963,NA,NA,NA
"37",43.0778,NA,404567.146759259,10125713.9071296,NA,NA,NA,3505.31407407407,NA,NA,NA,NA,NA,NA,NA,99668.0319444444,1751565.78481481,NA,NA,NA,2442.8637962963,16075.6787962963,NA,NA,NA
