"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9083,0,100,3900.47,17709.76,200,400.01,1000.03,0,200,0,0,100,0,300,1100.04,0,0,0,0,0,0,0,0,0
"4",1.1914,0,0,3700.42,16108.07,200,600.01,1200.05,0,0,0,0,100,0,300,600.01,100,700.02,100,100,0,0,0,100,0
"5",1.4744,0,100,4300.57,21814.8,200,1000.03,1100.04,0,200,100,0,0,0,500.01,1100.04,0,100,0,0,0,0,0,0,0
"6",1.7574,0,100,4800.71,18410.54,200,1100.04,1300.05,100,0,0,0,0,0,400.01,900.03,0,200,0,300,0,0,0,0,0
"7",2.0404,0,0,4100.52,19111.36,100,300,500.01,0,0,200,0,0,0,300,1300.05,0,200,100,300,0,0,0,0,0
"8",2.3235,0,0,4000.5,19511.84,100,900.03,500.01,0,0,0,0,0,100,200,700.02,100,200,100,100,0,0,0,0,0
"9",2.6065,0,200,4600.66,16908.89,200,1200.04,800.02,100,0,0,0,0,0,300,800.02,0,200,100,200,0,0,0,0,100
"10",2.8895,0,100,5400.9,19812.21,400.01,1000.03,1200.05,0,100,0,100,100,0,100,200,0,300,0,200,0,200,0,0,0
"11",3.1725,100,0,4700.68,20613.22,400.01,1200.04,1100.04,0,0,0,0,200,0,700.02,500.01,0,200,100,200,0,0,0,100,0
"12",3.4556,0,0,4200.55,18710.89,100,1100.04,700.02,0,0,0,0,0,0,300,500.01,100,0,0,200,0,0,0,0,0
"13",3.7386,0,200,4100.52,18410.54,200,1400.06,1500.07,0,0,100,0,100,100,200,300,0,0,0,400.01,0,0,0,0,0
"14",4.0216,0,0,2600.21,20513.09,500.01,900.03,900.03,0,0,0,0,0,0,600.01,400.01,0,100,0,100,0,0,0,0,0
"15",4.3046,0,0,4300.57,18210.32,600.01,600.01,1300.05,0,0,0,0,0,100,300,900.03,0,100,0,300,0,0,0,0,0
"16",4.5877,0,0,4100.52,18310.43,100,800.02,900.03,0,0,0,0,100,0,900.03,600.01,0,200,100,300,0,0,0,0,0
"17",4.8707,0,0,4500.63,19912.33,600.01,500.01,1000.03,100,0,100,0,0,0,300,800.02,0,100,0,0,0,0,0,0,0
"18",5.1537,0,100,4800.71,20212.71,200,1300.05,1000.03,100,0,0,0,0,0,500.01,1400.06,0,100,100,0,0,0,0,0,0
"19",5.4367,0,100,4700.68,19011.24,300,800.02,1200.05,0,0,0,0,100,100,500.01,900.03,0,0,0,300,0,0,0,0,0
"20",5.7198,0,0,4000.5,19411.72,200,800.02,1000.03,100,0,200,0,0,100,200,1100.04,0,100,100,0,0,0,0,100,0
"21",6.0028,100,0,4700.68,18911.13,200,1300.05,1400.06,0,0,0,0,0,0,400.01,600.01,0,100,0,0,0,0,0,100,0
"22",6.2858,0,100,3600.4,20312.84,300,1000.03,1200.05,0,0,0,0,0,0,500.01,400.01,0,400.01,0,100,0,0,0,0,0
"23",6.5688,0,0,4000.5,21113.87,400.01,1000.03,700.02,0,0,0,0,0,0,500.01,400.01,0,100,200,300,0,0,0,0,0
"24",6.8519,0,0,3800.45,20913.61,100,900.03,1000.03,0,0,0,0,100,0,200,1000.03,100,100,0,100,0,0,0,0,0
"25",7.1349,0,100,4000.5,17309.32,300,500.01,1200.05,0,0,0,0,100,0,300,400.01,0,200,0,100,0,0,0,0,0
"26",7.4179,0,0,3800.45,18210.32,100,1000.03,400.01,0,0,0,0,0,100,200,700.02,0,100,100,100,0,0,0,0,0
"27",7.7009,0,0,3500.38,18811.01,100,1100.04,900.03,100,100,0,0,0,100,0,1100.04,0,0,100,0,0,0,0,0,100
"28",7.9839,0,0,3700.42,18710.89,200,1000.03,1500.07,0,0,0,0,0,0,600.01,400.01,100,0,100,500.01,0,0,0,0,0
"29",8.267,0,0,4300.57,19311.6,200,900.03,600.01,0,0,0,0,0,0,400.01,600.01,0,300,0,100,0,200,0,0,0
"30",8.55,0,100,4100.52,18010.09,100,1200.04,1300.05,0,100,0,0,0,200,100,700.02,0,100,100,0,0,0,0,100,0
"31",8.833,0,100,3000.28,20613.22,100,800.02,1300.05,0,0,0,100,100,0,400.01,500.01,0,100,0,100,0,100,0,0,0
"32",9.116,0,0,3700.42,18210.32,200,600.01,1400.06,0,0,0,0,0,200,400.01,600.01,0,300,200,100,0,0,0,0,0
"33",9.3991,0,0,3600.4,18811.01,200,700.02,600.01,0,0,100,0,0,0,500.01,700.02,100,100,100,500.01,0,0,0,0,0
"34",9.6821,0,300,3400.36,20012.46,400.01,800.02,1300.05,0,100,0,0,0,0,400.01,600.01,0,0,100,200,0,0,0,0,0
"35",9.9651,0,0,3500.38,20112.58,100,700.02,1400.06,0,0,0,0,0,200,700.02,200,100,100,0,200,0,0,0,0,0
"36",10.2481,0,0,5000.77,19211.48,500.01,400.01,800.02,100,0,0,0,0,0,700.02,500.01,0,0,200,200,0,0,0,0,0
"37",10.5312,100,100,3200.32,19311.6,300,400.01,800.02,0,200,100,200,0,0,400.01,600.01,0,300,200,400.01,200,0,0,0,0
"38",10.8142,100,0,4500.63,18811.01,100,700.02,1400.06,0,0,100,0,0,0,200,600.01,0,200,100,300,0,0,0,0,0
"39",11.0972,0,100,4000.5,18911.13,100,1300.05,900.03,0,0,0,200,200,0,700.02,1000.03,0,0,0,0,0,0,0,0,0
"40",11.3802,0,0,4700.68,21514.4,100,600.01,900.03,0,0,0,0,0,0,500.01,700.02,0,300,0,300,0,0,0,0,0
"41",11.6633,200,0,4300.57,19411.72,300,700.02,1300.05,0,0,0,0,0,0,500.01,900.03,0,200,100,400.01,0,0,0,0,0
"42",11.9463,0,0,4300.57,20012.46,0,1100.04,700.02,0,100,0,0,200,0,300,700.02,100,100,100,100,0,0,0,0,0
"43",12.2293,0,100,5100.81,18911.13,400.01,1600.08,1100.04,0,200,100,0,0,0,400.01,300,0,0,100,0,0,0,0,0,0
"44",12.5123,0,100,4300.57,19912.33,200,1500.07,1300.05,0,100,0,0,0,0,400.01,1200.05,0,0,0,300,0,0,0,0,0
"45",12.7954,0,0,4700.68,18210.32,300,1100.04,800.02,0,0,0,0,100,0,400.01,400.01,0,200,0,0,0,0,0,0,0
