"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"113",32.041,28524.8,289773.1,7682177.52,24819.16,700.02,10103.18,42456.24,100,500.01,100,2100.14,2100.14,13305.57,14306.44,118042.97,2035586.18,1300.06,500.01,1300.06,24319.55,169647.61,300,10103.54,11204.36
"114",32.324,39848.38,378068.22,9464017.4,20212.71,600.01,2800.24,15507.51,0,200,0,1400.06,800.02,5400.92,12805.16,97804.29,2080684.42,400.01,100,800.02,22616.91,164288.83,0,3400.4,5701.13
"115",32.607,26821.93,368552.3,9488789.27,21514.4,400.01,3800.45,7301.67,100,400.01,200,700.02,1200.05,8102.06,11304.02,99917.56,2207441.06,600.01,400.01,500.01,23117.67,123402.16,0,7201.8,14507.3
"116",32.8901,23216.43,367222.57,8841128.32,24719,200,3100.3,8102.05,200,200,0,800.02,500.01,4800.72,9302.72,110085.37,2342541.46,200,0,600.01,17309.91,105164.92,100,3200.36,7602.01
"117",33.1731,23516.86,370905.21,8667970.51,20713.35,200,2100.14,5300.88,0,400.01,0,700.02,100,4200.55,7801.92,106158.4,2395691.46,300,100,300,15307.75,101238.22,0,4300.64,5501.05
"118",33.4561,19311.37,405521.42,10035508.82,18610.77,500.01,2400.18,3900.48,0,0,0,1100.04,200,4300.58,6801.46,113308.22,2087999.27,300,200,100,13405.94,76292.23,0,2600.23,6601.51
"119",33.7391,15807.62,456554.94,9979611.94,21013.73,400.01,1800.1,6001.13,0,200,100,900.03,100,3600.41,5000.79,103842.96,2272995.56,200,100,0,10103.38,73478.33,200,5100.9,7101.75
"120",34.0222,12905.08,407879.65,9242395.52,22515.77,300,1500.07,6901.49,0,100,0,500.01,400.01,3000.28,6201.21,108071.41,2101571.92,200,0,100,11004,69861.23,0,3100.33,2100.15
"121",34.3052,16608.41,401421.03,9461677.56,22716.05,200,2100.14,5901.09,0,200,0,100,200,2500.2,5200.85,98508.69,2151509.62,600.01,200,100,9002.68,71669.67,100,4200.61,3600.45
"122",34.5882,14005.98,387999.33,9283729.9,20212.71,300,1800.1,5000.78,200,200,0,400.01,200,2100.14,5400.92,110186.06,2041023.48,400.01,100,100,10603.72,61123.45,0,2600.23,4500.7
"123",34.8712,9402.7,353215.71,10671735.39,20212.71,100,1100.04,5300.88,0,100,100,200,400.01,2700.23,5300.89,121166.69,2163163.13,600.01,0,900.03,8902.62,64939.33,0,2700.25,1800.11
"124",35.1543,12104.47,381343.81,10122578.35,21714.67,300,1200.04,3900.48,0,200,0,500.01,200,2600.21,3800.45,101829.82,2166917.82,200,200,100,9703.11,62127.54,100,1700.1,3000.31
"125",35.4373,9602.81,363438.51,9143042.39,18110.2,200,2100.14,4600.66,100,100,0,500.01,100,1000.03,5100.82,98810.59,2154888.92,200,0,200,8902.62,55501.81,0,700.02,2500.22
"126",35.7203,15507.33,401728.52,10313111.95,22816.19,400.01,1600.08,5000.78,0,300,0,100,0,2000.13,3900.48,119755.9,2291421.54,100,100,200,7301.76,50082.91,0,600.01,1500.08
"127",36.0033,9802.93,412084.24,10539062.74,22115.21,200,1700.09,5701.02,100,200,0,0,200,1400.06,2800.25,116833.96,2219108.45,200,200,200,6801.53,43362.17,100,300,700.02
