"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9072,200,200,4400.6,18510.66,600.01,1500.07,1100.04,400.01,200,100,200,0,200,300,1000.03,400.01,600.01,400.01,500.01,300,200,700.02,500.01,400.01
"4",1.1902,600.01,300,3800.45,18210.32,200,1600.08,1800.1,300,200,200,100,200,200,400.01,600.01,600.01,300,500.01,0,200,300,0,100,500.01
"5",1.4733,400,0,4000.5,19712.09,300,800.02,1400.06,800.02,200,100,300,400.01,100,1100.04,800.02,100,500.01,200,700.02,100,200,200,300,100
"6",1.7563,200,400,3600.4,18110.2,300,1700.09,1400.06,100,100,300,300,100,0,200,1000.03,200,100,400.01,300,400.01,300,100,200,700.02
"7",2.0393,200,400,4300.57,18710.89,300,1600.08,1600.08,300,400.01,400.01,100,500.01,200,600.01,800.02,300,300,200,400.01,600.01,500.01,200,200,100
"8",2.3224,300,200,5400.9,19812.21,600.01,1000.03,2000.12,200,100,400.01,200,200,300,400.01,500.01,300,0,300,600.01,200,300,100,500.01,300
"9",2.6054,0,300,3600.4,21214,400.01,600.01,1600.08,400.01,100,300,200,100,200,400.01,900.03,0,400.01,200,200,200,100,400.01,100,200
"10",2.8884,400,0,4100.52,18710.89,300,900.03,1200.05,300,400.01,500.01,600.01,800.02,300,600.01,700.02,100,100,500.01,500.01,500.01,300,300,200,100
"11",3.1714,200,200,4300.57,20513.09,600.01,1700.09,1500.07,500.01,700.02,400.01,200,0,400.01,600.01,500.01,100,100,300,300,200,200,0,300,300
"12",3.4544,100,100,5000.77,18610.77,500.01,1200.04,1600.08,100,200,300,200,0,100,700.02,900.03,300,300,400.01,600.01,100,400.01,200,400.01,300
"13",3.7375,300,400,5000.77,19411.72,300,700.02,700.02,200,300,300,200,300,400.01,500.01,400.01,100,800.02,300,600.01,200,100,300,100,300
"14",4.0205,200,500.01,4200.55,18811.01,1200.04,900.03,1300.05,400.01,300,200,200,0,300,600.01,600.01,200,400.01,400.01,700.02,100,300,200,400.01,0
"15",4.3035,700.01,500.01,4800.71,20312.84,100,1200.04,1000.03,200,400.01,400.01,200,200,400.01,600.01,900.03,400.01,600.01,400.01,0,200,400.01,200,400.01,0
"16",4.5865,400,200,3700.42,18610.77,300,1700.09,2000.12,500.01,300,200,600.01,100,400.01,500.01,500.01,300,100,600.01,300,300,500.01,200,100,300
"17",4.8696,300,500.01,5901.08,19311.6,700.02,1500.07,1000.03,700.02,200,400.01,200,0,300,600.01,900.03,400.01,600.01,100,400.01,200,100,600.01,400.01,400.01
