"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"133",37.7003,8502.2,197093.77,5189687.62,37142.89,400.01,3900.47,2900.26,500.01,600.01,300,600.01,800.02,2100.14,2700.23,66741.84,598221.69,1100.04,900.03,600.01,9102.74,51086.27,200,1100.04,700.02
"134",37.9834,6001.1,208839.82,5063950.89,32031.9,900.03,2200.15,2200.15,500.01,400.01,100,600.01,500.01,1300.05,3500.39,66239.72,567819.74,1000.03,300,600.01,6501.4,43161.59,600.01,1000.03,1300.06
"135",38.2664,6301.21,208637.21,5130468.86,30328.6,100,4700.69,4500.63,600.01,300,200,700.02,700.02,1500.07,3300.34,85532.82,696149.87,400.01,200,500.01,6701.49,53394.23,400.01,1200.05,2100.15
"136",38.5494,8302.1,256213.68,6643398.59,29026.2,300,2900.26,5300.88,300,100,200,1400.06,900.03,1800.1,3700.43,99816.93,1997468.79,800.02,500.01,800.02,8502.39,61123.45,400.01,1500.08,2000.14
"137",38.8325,9402.7,321769.59,7983934.55,31330.52,900.03,3100.3,5801.05,300,300,300,1300.05,1000.03,3300.34,4000.5,108977.66,2005492.82,800.02,800.02,1300.06,9502.99,54297.44,200,1300.06,2000.14
"138",39.1155,8702.31,361904.67,8769797.07,31230.33,500.01,5801.05,5600.98,500.01,500.01,100,1100.04,600.01,2500.2,4000.5,116028.01,2116688.13,300,600.01,900.03,10903.93,55301.08,1200.05,1300.06,1600.09
"139",39.3985,9302.64,325850.08,8132987.68,25219.78,700.02,1900.11,4800.72,400.01,400.01,0,800.02,900.03,1700.09,4700.7,135987.56,2360077.2,600.01,300,500.01,9502.99,56405.15,500.01,900.03,1300.06
"140",39.6815,7101.54,368654.6,8855375.2,27523.56,600.01,2400.18,5500.95,100,200,300,600.01,400.01,1100.04,3100.3,133466.02,2680035.02,600.01,600.01,300,8302.28,54498.16,300,400.01,800.02
"141",39.9645,7201.58,357406.28,8610364.25,21814.8,400.01,1900.11,3100.3,400.01,600.01,200,600.01,300,2200.15,2700.23,115322.84,2336408.65,800.02,400.01,1000.03,6901.58,48377.37,300,1900.13,15908.78
"142",40.2476,6001.1,287126.5,7853856.43,22115.21,300,2000.12,4000.5,500.01,100,300,900.03,500.01,1800.1,2400.18,107870.03,2185663.72,600.01,200,900.03,7201.72,38148.12,200,1200.05,2000.14
"143",40.5306,7401.67,316976.33,7682444.7,26321.55,500.01,6101.16,3200.32,300,300,400.01,900.03,600.01,2300.17,2500.2,130239.03,2552736.19,300,500.01,800.02,7601.91,53193.53,400.01,1600.09,1600.09
"144",40.8136,10003.05,399063.75,9859440.06,24518.7,700.02,3300.34,5000.78,700.02,200,500.01,900.03,600.01,4200.55,5600.99,146279.64,2819557.48,1200.05,500.01,1400.06,7701.96,55401.44,200,1100.04,2100.15
"145",41.0966,8602.26,461697.86,11450879.94,25219.78,1300.05,4800.72,5300.88,100,100,500.01,1100.04,1300.05,5000.79,4500.64,163549.11,3077172.92,600.01,400.01,700.02,8202.23,55100.34,300,500.01,1800.11
"146",41.3797,6501.29,427681.45,10702593.21,23717.5,500.01,2900.26,4400.61,200,300,400.01,900.03,400.01,4300.58,4000.5,144664.75,2716942.44,800.02,200,900.03,6801.53,45167.45,200,400.01,1100.04
"147",41.6627,6001.1,373667.71,9268318.96,22816.19,600.01,2100.14,4700.69,300,0,100,900.03,600.01,1300.05,2900.26,133163.47,2637690.1,700.02,400.01,500.01,4500.67,39752.25,200,1600.09,1200.05
"148",41.9457,38445.03,377863.53,9412122.09,23316.91,500.01,1300.05,4100.53,400.01,600.01,200,300,500.01,1300.05,2500.2,145371.24,2787058.46,700.02,200,900.03,7301.76,44565.67,100,800.02,700.02
"149",42.2287,6001.1,406034.07,9773946.31,23116.62,700.02,2000.12,3400.36,200,400.01,100,900.03,400.01,2700.23,4400.61,134575.44,2714578.38,1100.04,400.01,1200.05,7301.76,47675.14,1500.07,1700.1,2800.27
"150",42.5118,6901.45,395169.86,9699195.53,23316.91,200,2300.17,9602.88,400.01,300,500.01,1300.05,600.01,5100.82,4400.61,134676.31,2804218.81,600.01,700.02,1000.03,6101.23,49681.59,200,3000.31,2700.25
"151",42.7948,6401.25,435793.76,11283165.88,21614.53,300,3000.28,7101.57,300,800.02,100,1400.06,600.01,7001.54,5600.99,161326.25,3163531.52,900.03,500.01,1400.06,9202.8,59517.06,500.01,2100.15,4300.64
"152",43.0778,8302.1,456246.4,11243432.28,23917.79,500.01,3200.32,7201.62,400.01,400.01,200,1000.03,300,5400.92,4400.61,161730.39,2995473.11,700.02,800.02,900.03,9002.68,46772.32,0,1600.09,2400.2
"153",43.3608,8102,434561.24,10893878.37,22115.21,900.03,2600.21,3600.41,400.01,0,500.01,1000.03,1000.03,3200.32,3200.32,149005.14,2986600.85,700.02,300,1500.07,6801.53,44365.08,200,1100.04,1000.03
"154",43.6438,5700.99,423267.59,10226223.67,23216.77,800.02,1400.06,4000.5,100,600.01,100,600.01,200,2100.14,4200.56,143958.29,2665641.86,100,500.01,900.03,7301.76,45167.45,300,400.01,1300.06
"155",43.9269,3700.42,409725.45,9755965.06,20713.35,600.01,2800.24,5500.95,500.01,400.01,500.01,800.02,500.01,2900.26,3400.36,139619.29,2738566.86,600.01,200,1100.04,4600.7,41456.83,0,1000.03,1600.09
"156",44.2099,5500.92,392711.02,9913481.47,22215.35,700.02,2700.23,9602.88,300,800.02,100,1500.07,300,2900.26,5801.06,147894.69,2865740.69,400.01,600.01,1100.04,7401.81,45368.05,300,2200.17,1900.13
"157",44.4929,6901.45,433636.92,10566198.67,23016.48,500.01,2200.15,7401.71,800.02,1200.05,200,1700.09,600.01,10303.34,3600.41,148904.19,2975642.64,1300.06,500.01,1500.07,6401.36,43462.46,200,2200.17,3400.4
"158",44.7759,4900.73,426449.57,10024911.16,23817.64,500.01,3700.43,6401.28,100,1000.03,100,1500.07,700.02,2900.26,5200.85,121065.91,2868035.22,600.01,900.03,1000.03,5701.08,39952.78,200,1400.07,1600.09
"159",45.059,4700.67,391379.33,10425972.11,22115.21,700.02,2700.23,4500.63,400.01,1300.05,600.01,500.01,600.01,2300.17,3500.39,142242.73,2762569.2,800.02,600.01,1100.04,6201.27,39250.95,300,1200.05,2600.23
"160",45.342,5000.76,383186.61,10265315.07,21214,200,2500.19,4800.72,600.01,1400.06,1000.03,400.01,800.02,2300.17,3700.43,132860.9,2592091.07,800.02,300,1400.06,5901.15,44565.67,400.01,1400.07,2900.29
"161",45.625,4900.73,367836.29,9102120.52,22916.33,700.02,3000.28,3900.48,200,4600.66,800.02,300,900.03,4000.5,4300.58,145573.11,2959844.99,500.01,500.01,1200.05,8402.34,51788.65,200,1700.1,3900.53
"162",45.9081,4600.65,442368.71,11801646.36,23417.06,800.02,5901.09,6501.32,300,4900.75,900.03,1300.05,1100.04,4200.55,6001.13,159204.72,2782038.15,1700.09,400.01,800.02,9102.74,50785.26,300,3600.45,4100.58
"163",46.1911,9002.47,459229.06,11572470.57,22115.21,500.01,5400.91,4700.69,400.01,3100.3,500.01,2300.17,900.03,5500.95,6101.17,161932.45,3195627.42,1300.06,600.01,1900.12,9002.68,57509.3,0,3300.38,4200.61
"164",46.4741,10703.49,494135.66,11517628.38,24218.24,600.01,3400.36,6601.36,400.01,1800.1,600.01,800.02,300,3800.45,5600.99,152740.86,2815455.14,800.02,400.01,600.01,9502.99,49681.59,300,2500.22,3200.36
"165",46.7571,8602.26,444937.75,11313939.32,24418.55,500.01,3000.28,15007.03,600.01,800.02,400.01,500.01,300,2900.26,4000.5,135684.95,2920156.12,300,300,1400.06,5801.11,45267.75,300,1000.03,2200.17
"166",47.0401,4700.67,416289.95,9399742.4,21914.94,600.01,1800.1,5500.95,400.01,1000.03,600.01,400.01,400.01,3100.3,3000.28,135886.69,2644518.03,900.03,700.02,1100.04,6201.27,38549.14,100,900.03,2500.22
"167",47.3232,6201.17,380320.13,9682268.97,21614.53,1000.03,1900.11,4600.66,100,600.01,300,700.02,700.02,3000.28,3500.39,131146.56,2587641.07,700.02,800.02,700.02,6501.4,46070.17,300,1300.06,2400.2
"168",47.6062,8502.2,392506.16,9677091.62,22816.19,800.02,3700.43,7701.85,800.02,800.02,200,700.02,300,3500.39,4700.7,139114.83,2853238.74,1200.05,500.01,1200.05,5701.08,48377.37,300,3900.53,4500.7
"169",47.8892,8902.42,434355.82,10469792.42,25720.58,400.01,2800.24,8702.37,0,1200.05,500.01,3000.28,1000.03,5600.99,4700.7,146279.64,2879883.46,1000.03,1200.05,1800.11,9002.68,47273.88,200,3100.33,3400.4
"170",48.1722,10503.36,423472.86,10887986.18,23417.06,700.02,2800.24,5200.85,300,1000.03,200,1600.08,600.01,3700.43,4100.53,152235.98,3052433.66,1600.08,500.01,1500.07,8902.62,44365.08,300,2100.15,3100.33
"171",48.4553,8602.26,480946.84,11177823.69,24218.24,300,2900.26,4400.61,200,600.01,0,1000.03,1300.05,3000.28,3600.41,165267,2965421.36,500.01,500.01,1200.05,7301.76,43963.9,100,1500.08,1400.07
