"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.3229,63184.8444036697,237896.542201835,6202204.77155963,21166.2418348624,1280.81678899083,15204.5787155963,10803.5336697248,NA,3091.16394495413,NA,27599.4972477064,12894.3888073395,30778.8708256881,20817.1675229358,100875.004587156,807759.871009174,7387.25633027523,2128.62651376147,11472.510733945,9010.13834862385,71518.766146789,411.935504587156,14379.8723853211,16156.1310091743
"2",32.6059,67100.4144036697,344593.742201835,9265191.17155963,14049.4818348624,1380.82678899083,13202.6687155963,9802.81366972477,NA,6092.06394495413,890.863944954128,27098.6372477064,12293.8988073395,19360.7108256881,15911.3175229358,119506.344587156,2358537.69100917,4486.06633027523,1028.49651376147,4768.76073394495,10010.7783486239,59366.066146789,NA,5973.8023853211,10050.4710091743
"3",32.8889,58668.0344036697,400254.532201835,10195014.6315596,15953.6618348624,880.776788990826,12201.8087155963,10203.0936697248,NA,3891.35394495413,690.853944954128,19988.0372477064,9391.88880733945,19460.8308256881,11207.1275229358,118800.984587156,2364447.85100917,2185.51633027523,1128.49651376147,2868.24073394495,7509.29834862385,59767.656146789,NA,4673.3023853211,5948.12100917431
"4",33.1719,37205.0944036697,388472.232201835,9184341.17155963,12947.1718348624,NA,7398.53871559633,17209.6136697248,NA,2090.99394495413,590.843944954128,14982.4772477064,7590.89880733945,16157.0808256881,10406.5475229358,114367.944587156,2433520.70100917,3385.76633027523,1428.52651376147,2968.26073394495,5608.44834862385,44213.986146789,NA,3272.9023853211,7148.68100917431
"5",33.455,31994.0444036697,372298.162201835,9710399.77155963,10642.5718348624,NA,9099.53871559633,11103.7636697248,486.256880733945,2090.99394495413,NA,16784.2972477064,7790.99880733945,12053.3808256881,9105.69752293578,125654.504587156,2469023.82100917,2185.51633027523,928.486513761468,3368.35073394495,7509.29834862385,41807.106146789,511.945504587156,8375.0423853211,12552.4710091743
"6",33.738,35902.1844036697,406507.732201835,10019285.7215596,7336.55183486238,NA,5597.68871559633,7101.18366972477,NA,3491.25394495413,NA,12780.5372477064,8191.20880733945,10252.0908256881,10606.6875229358,121320.314587156,2433924.02100917,2685.60633027523,NA,2468.16073394495,5208.30834862385,35390.626146789,511.945504587156,5273.5223853211,7448.84100917431
"7",34.021,28587.7044036697,389291.562201835,9974653.68155963,10442.1818348624,780.766788990826,5297.56871559633,6901.08366972477,NA,2191.00394495413,NA,16183.6672477064,8791.53880733945,11352.8508256881,8305.23752293578,124344.044587156,2436705.27100917,2485.57633027523,NA,3168.30073394495,5808.52834862385,28976.876146789,NA,3472.9523853211,4347.52100917431
"8",34.304,22377.9744036697,399742.082201835,10202507.6015596,NA,NA,6698.18871559633,5200.31366972477,NA,1690.93394495413,690.853944954128,16684.1972477064,8391.30880733945,12653.8608256881,8605.40752293578,123840.034587156,2427262.89100917,1585.43633027523,1228.50651376147,3468.38073394495,4608.09834862385,28776.486146789,NA,2372.7023853211,5047.76100917431
"9",34.587,21276.4944036697,385092.762201835,9687665.40155963,8338.30183486238,NA,3997.09871559633,8902.22366972477,NA,1290.89394495413,NA,17885.5172477064,10092.3288073395,9851.83082568807,8305.23752293578,113058.424587156,2482095.70100917,2585.58633027523,728.466513761468,3768.46073394495,5908.56834862385,32584.276146789,NA,2272.6923853211,3947.39100917431
"10",34.8701,24781.4644036697,405995.082201835,10353852.9115596,9740.86183486239,780.766788990826,2996.80871559633,8301.85366972477,NA,1490.91394495413,NA,16083.5672477064,8691.47880733945,7750.63082568807,6104.14752293578,123638.454587156,2408016.60100917,3085.69633027523,1028.49651376147,3968.51073394495,4508.06834862385,28676.296146789,NA,3773.0323853211,3847.36100917431
"11",35.1531,21076.2344036697,389701.282201835,10043014.6215596,18659.9818348624,NA,2296.64871559633,5200.31366972477,NA,1690.93394495413,NA,16383.8772477064,7891.04880733945,6349.99082568807,9305.82752293578,124545.644587156,2458413.28100917,3585.81633027523,NA,3368.35073394495,4007.91834862385,25570.676146789,411.935504587156,2272.6923853211,3647.31100917431
"12",35.4361,16570.9944036697,375572.622201835,9495361.49155963,NA,NA,3196.86871559633,7901.62366972477,NA,1290.89394495413,NA,12180.0572477064,7190.70880733945,8551.06082568807,8305.23752293578,108123.504587156,2368313.86100917,2385.55633027523,1128.49651376147,2968.26073394495,3407.76834862385,24769.326146789,NA,3172.8723853211,4447.55100917431
"13",35.7192,17071.5144036697,384273.622201835,9968239.62155963,5433.40183486239,NA,2896.78871559633,9502.61366972477,NA,1890.96394495413,NA,11979.8972477064,4189.59880733945,7150.34082568807,6604.36752293578,126057.734587156,2422340.03100917,1485.42633027523,628.466513761468,2268.12073394495,4007.91834862385,26271.886146789,NA,2972.8323853211,3947.39100917431
"14",36.0022,17171.6244036697,407020.372201835,10265727.9115596,4331.67183486238,NA,3596.97871559633,16208.4936697248,NA,2291.02394495413,NA,9077.93724770642,3589.43880733945,8451.00082568807,7504.80752293578,139370.504587156,2822036.92100917,1385.40633027523,NA,867.940733944954,3907.89834862385,31181.296146789,411.935504587156,2272.6923853211,13553.4010091743
"15",36.2852,13368.0244036697,459293.622201835,11404345.1215596,5032.76183486238,NA,2496.68871559633,5400.39366972477,NA,1590.92394495413,NA,4475.91724770642,2389.19880733945,7050.30082568807,5703.98752293578,137352.694587156,2721034.96100917,885.366330275229,NA,1468.00073394495,4007.91834862385,25169.996146789,NA,1372.5623853211,3347.23100917431
