"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"129",36.5682,2600.21,204585.95,4549277.84,35238.61,400.01,2400.18,5500.95,100,100,0,300,500.01,3100.3,2200.15,64130.97,471498.84,400.01,300,1300.06,1100.04,9703.12,0,1800.11,3800.5
"130",36.8512,4300.56,181007.35,4436187.21,37243.13,600.01,3100.3,6801.45,0,300,0,900.03,2000.13,5300.88,4200.56,57404.96,458109.78,1300.06,400.01,800.02,2300.18,12204.93,0,1900.13,5701.13
"131",37.1343,3100.29,205092.31,6131745.06,32933.73,700.02,5300.88,5300.88,0,200,100,1100.04,300,22315.65,9903.09,57906.81,535613.44,1300.06,0,1400.06,3300.36,16008.48,400.01,4200.61,5501.05
"132",37.4173,7301.63,239053.91,5388854.03,35940.16,400.01,3600.4,12404.81,400.01,600.01,0,1300.05,900.03,9302.72,5600.99,76486.23,689672.23,1500.07,600.01,1900.12,2100.15,20513.92,300,3200.36,4300.64
"133",37.7003,5300.86,306374.91,7167517.35,37644.06,500.01,3900.47,6301.24,300,100,100,700.02,900.03,4100.53,6801.46,86337.21,1698203.75,1100.04,500.01,1700.09,2500.21,14907.36,100,1600.09,3600.45
"134",37.9833,3700.42,261090.75,6304527.48,30428.79,300,2800.24,5400.91,100,100,100,1500.07,400.01,3900.48,2000.13,86035.55,1828172.7,700.02,300,700.02,2500.21,16509.02,100,3400.4,2700.25
"135",38.2664,5100.79,262208.62,7086436.88,28525.31,400.01,2000.12,4300.58,0,200,100,1100.04,600.01,1800.1,2800.25,82416.18,1561087.05,700.02,100,800.02,3600.43,11004.01,0,2000.14,2100.15
"136",38.5494,4000.49,251642.75,6532187.65,29827.67,300,1800.1,4300.58,0,300,0,200,200,1800.1,2900.26,88851.2,1679763.9,400.01,0,1100.04,1500.07,10403.58,0,800.02,1900.13
"137",38.8324,2900.26,240068.76,5604547,28124.6,500.01,1800.1,6001.13,0,0,100,800.02,600.01,1600.08,2400.18,67947,1306656.08,300,400.01,700.02,1000.03,9102.74,0,800.02,1200.05
"138",39.1154,2400.18,204788.49,5243826.29,27323.22,400.01,1400.06,4100.53,0,100,200,2400.18,500.01,2300.17,2000.13,66139.3,586178.53,1100.04,0,1100.04,1000.03,12104.85,100,1800.11,2600.23
