"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9072,300,300,3400.36,19311.6,700.02,1000.03,1000.03,300,0,200,300,0,400.01,500.01,1000.03,300,300,300,300,0,300,300,500.01,200
"4",1.1902,300,300,4300.57,20312.84,600.01,1800.1,1500.07,500.01,300,200,300,400.01,300,300,1300.05,200,400.01,200,400.01,400.01,200,200,0,300
"5",1.4732,300,100,3400.36,19211.48,400.01,1800.1,1500.07,400.01,0,500.01,200,400.01,400.01,800.02,900.03,400.01,200,400.01,700.02,0,600.01,300,400.01,300
"6",1.7563,300,600.01,3500.38,18310.43,900.03,800.02,1200.05,400.01,400.01,0,600.01,100,0,600.01,1300.05,100,300,400.01,0,200,300,400.01,300,200
"7",2.0393,300,600.01,4100.52,20613.22,400.01,1500.07,1700.09,400.01,200,100,200,200,300,500.01,700.02,400.01,300,200,400.01,200,200,300,100,100
"8",2.3223,400,300,3800.45,20412.96,300,1000.03,1200.05,100,200,300,100,200,600.01,400.01,700.02,300,500.01,400.01,200,200,400.01,400.01,100,300
"9",2.6053,300,600.01,5200.84,19712.09,200,1500.07,1700.09,200,200,300,200,300,400.01,500.01,1400.06,300,300,100,400.01,200,200,100,600.01,200
"10",2.8884,100,400,4400.6,18510.66,300,1100.04,1200.05,400.01,400.01,200,200,200,500.01,300,700.02,300,600.01,300,200,300,400.01,200,300,400.01
"11",3.1714,200,200,3800.45,18410.54,300,1000.03,1800.1,0,200,300,200,200,200,600.01,700.02,600.01,100,500.01,100,200,300,400.01,300,100
"12",3.4544,400,200,4800.71,17809.87,500.01,500.01,1800.1,200,400.01,600.01,300,100,200,1100.04,1300.05,200,800.02,300,300,100,300,100,0,200
"13",3.7374,300,200,3800.45,20212.71,200,900.03,1100.04,0,100,200,200,100,200,300,500.01,300,400.01,100,600.01,0,100,300,100,100
"14",4.0205,200,400,3400.36,21414.26,300,1000.03,1200.05,200,100,300,300,300,200,900.03,1000.03,200,400.01,100,600.01,100,500.01,300,200,400.01
"15",4.3035,500.01,200,3400.36,17309.32,600.01,1200.04,600.01,600.01,400.01,600.01,100,300,200,300,900.03,100,100,200,300,100,0,200,300,500.01
"16",4.5865,300,200,4700.68,19311.6,500.01,800.02,1200.05,100,200,600.01,300,100,100,400.01,800.02,400.01,800.02,400.01,300,400.01,0,300,100,400.01
"17",4.8695,400,300,5500.94,18210.32,500.01,1000.03,1000.03,100,200,300,300,200,100,400.01,500.01,200,300,400.01,500.01,0,400.01,100,300,0
"18",5.1526,100,100,4600.66,21514.4,500.01,1200.04,900.03,400.01,200,200,100,200,400.01,600.01,600.01,400.01,300,400.01,500.01,200,400.01,300,300,200
"19",5.4356,300,200,4000.5,20412.96,300,1800.1,600.01,400.01,100,200,200,100,100,1100.04,600.01,500.01,300,200,500.01,200,200,0,0,400.01
"20",5.7186,0,300,5600.97,17509.54,400.01,1300.05,900.03,200,100,100,400.01,300,300,800.02,900.03,400.01,300,400.01,600.01,200,100,300,400.01,300
"21",6.0016,100,200,3900.47,18710.89,500.01,1200.04,1500.07,300,100,0,400.01,300,100,300,800.02,100,200,100,500.01,300,100,300,100,300
"22",6.2846,300,200,4300.57,21514.4,500.01,600.01,1300.05,500.01,200,200,500.01,300,200,600.01,700.02,100,200,100,300,0,500.01,100,600.01,100
"23",6.5677,200,400,3700.42,18110.2,500.01,1900.11,1100.04,300,200,200,300,300,200,600.01,500.01,500.01,300,300,400.01,0,100,100,300,400.01
"24",6.8507,500.01,200,4300.57,18610.77,0,1600.08,1400.06,200,500.01,200,300,400.01,400.01,700.02,800.02,400.01,300,300,200,500.01,100,300,300,500.01
"25",7.1337,100,400,4700.68,18610.77,400.01,1000.03,1400.06,500.01,500.01,0,0,300,500.01,500.01,300,500.01,300,400.01,800.02,400.01,0,300,200,300
"26",7.4167,500.01,400,3700.42,19111.36,200,800.02,1000.03,700.02,300,200,900.03,400.01,300,500.01,900.03,0,600.01,300,700.02,600.01,300,200,300,0
"27",7.6998,600.01,300,4500.63,19111.36,500.01,1300.05,1100.04,300,200,200,400.01,300,100,500.01,1400.06,200,300,0,300,100,600.01,100,400.01,300
"28",7.9828,100,300,3200.32,20913.61,200,700.02,1100.04,300,400.01,500.01,300,200,400.01,500.01,1200.05,200,400.01,400.01,500.01,500.01,200,200,300,0
"29",8.2658,400,100,3200.32,19111.36,100,1400.06,1300.05,400.01,100,300,300,200,0,400.01,1100.04,400.01,600.01,200,500.01,400.01,200,500.01,100,300
"30",8.5488,500.01,300,3900.47,21013.73,500.01,900.03,1700.09,200,200,100,200,400.01,200,800.02,900.03,100,900.03,500.01,500.01,300,500.01,200,400.01,500.01
"31",8.8319,200,200,3800.45,16108.07,300,500.01,1000.03,300,200,400.01,100,300,300,400.01,1000.03,300,100,500.01,400.01,500.01,300,200,200,200
"32",9.1149,400,600.01,3900.47,22415.63,300,900.03,1000.03,200,200,400.01,200,200,400.01,400.01,700.02,300,400.01,500.01,400.01,300,200,400.01,200,300
"33",9.3979,400,700.02,3000.28,18110.2,900.03,1100.04,1300.05,500.01,400.01,0,200,800.02,100,600.01,500.01,200,400.01,400.01,300,100,100,400.01,400.01,300
"34",9.6809,300,300,4000.5,20012.46,400.01,700.02,600.01,200,300,200,200,300,100,400.01,1300.05,600.01,600.01,300,300,200,200,100,400.01,100
"35",9.964,100,300,5000.77,15607.58,100,900.03,1600.08,300,0,500.01,400.01,300,500.01,500.01,500.01,200,100,200,300,400.01,200,300,200,200
"36",10.247,100,700.02,3900.47,19411.72,500.01,1900.11,1100.04,0,300,600.01,300,200,300,600.01,1400.06,300,300,100,600.01,800.02,100,300,400.01,500.01
"37",10.53,100,300,3200.32,19011.24,600.01,1300.05,800.02,200,200,400.01,100,0,700.02,1100.04,700.02,100,300,500.01,800.02,100,200,400.01,300,0
"38",10.813,200,500.01,4300.57,20212.71,500.01,700.02,1600.08,100,400.01,400.01,200,200,400.01,700.02,1300.05,0,400.01,400.01,600.01,200,100,500.01,400.01,100
"39",11.0961,0,200,4300.57,18510.66,1100.04,600.01,900.03,300,200,400.01,100,300,0,800.02,1000.03,300,500.01,0,300,300,200,600.01,400.01,400.01
"40",11.3791,600.01,200,3900.47,15407.39,400.01,1800.1,900.03,200,100,500.01,100,400.01,300,900.03,700.02,500.01,300,300,200,100,0,200,300,300
"41",11.6621,100,0,3100.3,18010.09,600.01,600.01,1100.04,600.01,600.01,300,200,100,400.01,600.01,1000.03,200,500.01,200,700.02,100,100,100,200,300
