"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9073,0,0,4200.55,22115.21,300,900.03,800.02,100,0,0,100,0,0,600.01,500.01,200,300,100,0,0,0,100,0,0
"4",1.1903,0,0,5100.81,20513.09,100,1200.04,1400.06,0,100,0,0,0,0,500.01,900.03,0,100,0,200,0,0,0,0,0
"5",1.4733,100,100,4200.55,22215.35,200,1100.04,1000.03,0,0,100,0,0,0,400.01,500.01,100,100,100,300,0,100,0,0,0
"6",1.7563,0,0,4100.52,22115.21,300,8702.36,1100.04,0,0,0,0,0,200,1400.06,1200.05,100,100,200,0,0,0,0,0,0
"7",2.0394,0,100,3100.3,21514.4,400.01,1100.04,1000.03,0,0,100,0,0,0,400.01,700.02,100,200,0,2100.14,0,0,0,0,0
"8",2.3224,0,0,4400.6,23917.79,300,1200.04,1100.04,0,0,0,0,0,0,700.02,500.01,0,100,0,300,0,0,0,0,0
"9",2.6054,0,0,3400.36,24118.09,0,1600.08,600.01,0,0,0,0,0,0,800.02,600.01,100,100,100,200,0,0,0,0,0
"10",2.8884,0,2500.19,4100.52,19812.21,100,1100.04,1500.07,0,0,0,0,0,0,200,800.02,0,200,100,100,100,0,0,0,0
"11",3.1715,0,0,3500.38,20112.58,0,600.01,1200.05,0,0,0,0,0,100,500.01,300,100,300,100,200,0,0,0,0,0
"12",3.4545,0,100,4300.57,18811.01,200,1200.04,1400.06,0,0,0,100,0,0,600.01,1000.03,0,200,0,100,0,0,0,0,0
"13",3.7375,100,0,4500.63,23116.62,300,700.02,1500.07,100,0,0,100,0,100,400.01,400.01,0,100,0,100,0,0,0,0,0
"14",4.0205,0,100,3000.28,20112.58,0,1200.04,1500.07,0,0,0,100,0,0,300,900.03,0,100,0,100,0,0,0,0,0
"15",4.3036,0,0,5200.84,22015.07,0,800.02,1400.06,0,0,0,0,100,100,300,1200.05,0,300,100,100,0,0,0,0,0
"16",4.5866,200,100,4300.57,19812.21,200,900.03,900.03,0,0,0,0,0,0,100,800.02,0,100,100,200,0,0,0,0,0
"17",4.8696,0,0,5200.84,20813.48,500.01,900.03,1000.03,0,100,0,0,0,0,300,600.01,0,300,100,100,0,0,0,0,0
"18",5.1526,200,0,4700.68,22615.91,0,1200.04,900.03,0,0,0,0,0,0,400.01,200,0,0,100,200,0,0,0,0,0
"19",5.4357,100,0,4600.66,18911.13,200,800.02,1700.09,0,0,0,200,0,0,700.02,800.02,0,100,0,500.01,0,0,0,0,0
"20",5.7187,0,100,4700.68,22215.35,200,1100.04,1000.03,100,0,0,0,0,100,600.01,400.01,0,100,0,200,0,0,0,100,0
"21",6.0017,100,0,3900.47,19812.21,300,400.01,1500.07,100,0,100,100,0,0,300,700.02,0,0,0,200,0,0,100,0,0
"22",6.2847,0,200,2700.23,23817.64,0,800.02,1000.03,200,0,0,0,0,0,500.01,1000.03,0,300,0,200,0,0,0,0,0
"23",6.5678,0,200,4900.74,22015.07,200,1300.05,1500.07,0,0,0,0,100,0,200,700.02,0,100,0,200,0,0,0,0,0
"24",6.8508,100,0,4300.57,22115.21,100,1400.06,700.02,0,0,0,100,0,0,400.01,1300.05,0,0,0,300,0,0,0,0,0
"25",7.1338,100,200,5000.77,20513.09,100,900.03,1200.05,0,0,0,0,0,0,400.01,500.01,0,200,0,300,0,0,0,0,0
"26",7.4168,0,0,5600.97,21814.8,300,1100.04,500.01,0,0,0,0,0,0,400.01,900.03,0,100,100,200,0,0,0,0,0
"27",7.6999,0,100,4300.57,21714.67,400.01,1700.09,400.01,0,0,100,0,0,100,600.01,400.01,100,0,100,100,0,0,0,0,200
"28",7.9829,0,100,3800.45,21914.94,0,700.02,1100.04,0,0,0,0,100,100,300,800.02,0,100,0,0,0,0,0,0,0
"29",8.2659,100,100,4200.55,20412.96,500.01,800.02,1300.05,0,0,0,0,0,0,700.02,500.01,0,200,0,300,0,0,0,0,0
"30",8.5489,0,0,4500.63,22916.33,100,1100.04,1100.04,0,0,0,0,0,0,300,800.02,0,0,0,200,0,0,0,0,0
