"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"113",32.0399,8802.36,73868.32,1264305.3,36140.61,500.01,4100.52,4500.63,100,200,0,1700.09,500.01,6401.29,5200.85,17910.23,128223.26,6201.26,300,3600.42,2000.13,17009.57,100,5901.21,7401.9
"114",32.3229,7201.58,63122.95,1111917.51,45363.97,1300.05,4000.5,3200.32,0,0,0,1100.04,200,16008.06,6801.46,12304.83,162843.03,900.03,500.01,1200.05,2300.18,17710.38,100,6301.38,8902.75
"115",32.606,3800.44,108462.5,743938.88,58205.26,3500.38,4600.66,7301.67,0,400.01,0,1900.11,600.01,16108.16,8702.38,19912.65,235864.51,1900.12,400.01,3000.29,2700.24,24620.05,300,5401.01,2800.27
"116",32.889,133340.13,55896.43,1621437.15,50980.77,900.03,3800.45,6501.32,100,200,100,1100.04,600.01,14006.17,6001.13,42056.36,103440.81,600.01,600.01,1300.06,1300.06,31633.1,100,2700.25,4900.83
"117",33.172,6601.33,46266.09,1656260.39,36641.74,1000.03,7101.57,5000.78,100,100,0,6801.45,2800.25,7901.96,4000.5,10903.79,108676.11,2000.13,700.02,1600.08,1100.04,9302.87,100,2700.25,4800.8
"118",33.455,5500.92,74772.46,2598232.87,40150.11,500.01,8602.31,5100.81,400.01,100,0,1700.09,1300.05,9202.66,5200.85,38246.62,165672.5,800.02,400.01,2000.13,1700.1,15407.86,100,4200.61,6201.34
"119",33.7381,4500.62,75576.19,1802512.93,33935.81,400.01,18510.68,7201.62,100,100,100,2200.15,1300.05,10103.21,8202.12,35339.81,171231.88,1200.05,300,1700.09,1900.12,15808.27,0,4300.64,6101.29
"120",34.0211,4700.67,80700.86,2026608.44,33534.97,700.02,9302.7,7001.53,200,200,100,2500.2,900.03,11103.88,7101.59,14106.35,115827.15,900.03,500.01,1500.07,3300.36,12204.93,2400.19,2900.29,5300.98
"121",34.3041,3600.4,85525.56,1577459.51,30829.56,600.01,5400.91,4700.69,200,0,0,1600.08,1200.05,10203.27,5100.82,20012.77,155064.6,1000.03,500.01,900.03,2500.21,18110.85,600.01,5501.05,5801.17
"122",34.5871,3700.42,93670.5,2817902.8,31831.51,700.02,7501.75,6001.13,100,500.01,0,2000.13,900.03,9202.66,9602.9,77893.14,278964.92,800.02,100,1900.12,2300.18,15407.86,300,5801.17,13806.62
"123",34.8702,6701.37,88340.63,3551505.94,34236.44,500.01,8302.15,42757.04,200,400.01,100,2200.15,800.02,10803.67,8502.28,34938.91,359892.02,1200.05,500.01,1600.08,2700.24,27725.43,400.01,6201.33,8002.22
"124",35.1532,11504.04,96084.6,2972970.18,42556.3,800.02,6701.4,5300.88,200,300,100,1500.07,700.02,16008.06,14906.99,37645.17,252623.08,1800.11,800.02,3500.4,3100.32,20614.06,100,6101.29,7101.75
"125",35.4362,3200.31,96688.18,3213301.24,33434.76,800.02,6701.4,6301.24,200,200,0,1300.05,1200.05,21714.82,8002.02,22616.31,180232.12,1700.09,200,2100.14,2200.16,17510.15,100,3600.45,4700.77
"126",35.7192,3600.4,98599.67,2404631.89,32332.5,500.01,5701.01,3800.45,0,500.01,0,1400.06,400.01,6901.5,8702.38,27323.8,142849.14,500.01,700.02,1200.05,1800.11,24720.22,100,5200.94,5100.9
"127",36.0023,4800.7,82107.91,1821706.88,33334.55,700.02,6501.32,3300.34,200,200,0,1300.05,700.02,7801.91,8802.44,18711.17,144362.93,1100.04,600.01,1700.09,1600.08,10003.31,0,3700.48,5401.01
"128",36.2853,2700.22,53187.32,1777959.61,36641.74,1100.04,8202.1,2500.2,200,0,0,1100.04,300,5801.06,14406.53,20313.16,151530.23,1000.03,300,31732.89,1900.12,13205.77,0,3500.43,6101.29
"129",36.5683,3400.35,101215.76,1524642.71,31029.94,400.01,3800.45,4200.55,100,400.01,0,1100.04,800.02,4700.7,4900.76,25320.44,136896.28,400.01,100,900.03,2000.13,11204.16,100,3400.4,5300.98
"130",36.8513,4600.65,61416.4,1389048.08,31430.72,300,3600.4,2900.26,500.01,100,200,800.02,500.01,5801.06,3000.28,15607.77,117640.6,600.01,200,1200.05,700.02,6001.19,0,2200.17,13005.87
"131",37.1343,1800.1,37343.07,1676096.91,35539.27,800.02,2700.23,3300.34,100,300,0,600.01,0,2000.13,3400.36,8702.42,78697.42,200,100,700.02,400.01,17610.26,0,1900.13,3300.38
"132",37.4174,1500.07,22415.52,966974.34,32733.32,900.03,3700.43,1800.1,100,100,0,600.01,100,4000.5,6501.33,10003.19,46870.1,300,300,500.01,500.01,9302.87,100,2700.25,2200.17
