"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",35.1531,228586.009158879,277343.117383178,6868198.60401869,20109.3914018692,NA,10395.5499065421,8579.47757009346,NA,NA,NA,2002.00906542056,1100.98448598131,20726.7038317757,14968.2093457944,30874.6736448598,271538.634579439,NA,NA,NA,1130.89102803738,11135.0011214953,NA,1120.61065420561,1815.08317757009
"2",35.4361,237004.339158879,319714.897383178,8397364.26401869,22816.1014018692,NA,10495.6199065421,10180.5175700935,NA,316.832336448598,NA,1201.91906542056,1100.98448598131,25233.2338317757,16169.4193457944,31275.4736448598,273675.374579439,435.523177570093,NA,NA,2531.06102803738,12536.1011214953,411.224859813084,1220.62065420561,1115.00317757009
"3",35.7192,274279.149158879,333897.297383178,8905501.77401869,13294.5114018692,NA,9895.19990654206,10881.0275700935,NA,NA,NA,1301.92906542056,300.944485981308,29640.8538317757,21275.5793457944,35183.9236448598,340365.344579439,NA,NA,NA,2331.03102803738,13536.9711214953,NA,820.590654205607,1715.06317757009
"4",36.0022,287808.219158878,359947.447383178,9210143.96401869,15699.4314018692,NA,12497.1599065421,10280.5875700935,323.374485981308,NA,NA,1501.94906542056,1501.01448598131,34650.9938317757,20073.9893457944,38892.8236448598,331171.104579439,NA,NA,NA,2431.05102803738,18141.8111214953,NA,1120.61065420561,1315.02317757009
"5",36.2852,279363.959158879,326753.547383178,8619750.20401869,16701.5914018692,NA,12196.9199065421,9279.91757009346,NA,316.832336448598,NA,2202.03906542056,600.954485981308,40464.7338317757,34599.3593457944,39494.3536448598,324432.074579439,NA,492.533271028037,668.252242990654,2631.08102803738,11335.1411214953,NA,1320.63065420561,2115.12317757009
"6",36.5682,300635.469158878,351974.767383178,9289599.43401869,10789.7614018692,NA,14298.7699065421,11481.4775700935,323.374485981308,1016.8623364486,NA,2102.01906542056,600.954485981308,40364.4838317757,26784.0593457944,40797.7336448598,376581.244579439,NA,NA,NA,2731.10102803738,12936.4411214953,NA,2220.74065420561,3015.28317757009
"7",36.8512,341831.299158879,367924.027383178,10137699.4540187,16801.8114018692,NA,15600.0599065421,11881.7975700935,NA,NA,NA,2102.01906542056,600.954485981308,46280.6038317757,31593.0293457944,40998.2736448598,348440.244579439,NA,NA,NA,1930.97102803738,13036.5211214953,NA,820.590654205607,2215.13317757009
"8",37.1343,344486.029158878,372834.627383178,10171116.6440187,10489.2214018692,546.745794392523,15299.7499065421,16386.0575700935,NA,NA,NA,1001.90906542056,600.954485981308,40865.7638317757,24380.1293457944,40396.6836448598,339139.124579439,NA,NA,NA,3031.16102803738,18342.0611214953,NA,1420.64065420561,2915.26317757009
"9",37.4173,352861.449158879,379896.197383178,10441008.0540187,17603.5814018692,546.745794392523,18903.7999065421,13383.0775700935,NA,NA,NA,2002.00906542056,NA,42369.6938317757,34799.8093457944,45009.4236448598,412264.274579439,NA,NA,NA,2131.00102803738,15438.8011214953,NA,1520.65065420561,1014.99317757009
"10",37.7003,339891.569158879,394745.657383178,11415548.7040187,13795.5114018692,746.755794392523,17802.4799065421,17086.8375700935,NA,NA,NA,1901.99906542056,1100.98448598131,43272.1238317757,29288.5493457944,42602.6136448598,386929.234579439,NA,NA,NA,1430.91102803738,17741.3411214953,NA,NA,2615.20317757009
