"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9072,100,0,3800.45,22515.77,400.01,1000.03,800.02,400.01,200,700.02,100,400.01,400.01,1100.04,1400.06,300,300,300,200,0,0,300,400.01,500.01
"4",1.1902,200,400,3400.36,20713.35,300,800.02,900.03,100,200,300,700.02,500.01,200,800.02,800.02,600.01,400.01,400.01,200,200,400.01,200,100,500.01
"5",1.4732,300,500.01,4500.63,21614.53,100,1400.06,1200.05,300,100,500.01,200,300,300,700.02,1100.04,200,400.01,600.01,200,200,200,200,300,200
"6",1.7562,0,500.01,4700.68,21414.26,600.01,1100.04,1200.05,200,300,300,500.01,200,200,800.02,500.01,100,300,300,700.02,100,800.02,500.01,400.01,500.01
"7",2.0393,500.01,400,4600.66,18310.43,500.01,1500.07,1500.07,200,200,300,400.01,300,200,800.02,800.02,200,400.01,300,600.01,500.01,200,600.01,500.01,100
"8",2.3223,300,300,4600.66,18410.54,400.01,600.01,1000.03,500.01,400.01,200,400.01,300,100,800.02,800.02,600.01,300,300,200,400.01,500.01,200,300,100
"9",2.6053,200,500.01,4300.57,20913.61,0,1500.07,1300.05,300,300,400.01,400.01,100,400.01,500.01,800.02,100,500.01,500.01,800.02,300,200,300,400.01,200
"10",2.8884,400,300,5500.94,20513.09,400.01,1000.03,1300.05,400.01,200,900.03,500.01,200,100,600.01,900.03,600.01,500.01,400.01,300,200,400.01,100,400.01,100
"11",3.1714,300,300,3900.47,19111.36,500.01,1600.08,1200.05,100,500.01,200,300,300,100,600.01,900.03,300,800.02,400.01,800.02,100,400.01,500.01,300,100
"12",3.4544,300,300,5100.81,20412.96,900.03,400.01,1400.06,100,100,200,200,100,200,1000.03,500.01,100,500.01,400.01,500.01,200,100,400.01,400.01,500.01
"13",3.7374,200,300,4900.74,21514.4,400.01,1100.04,1600.08,300,300,600.01,300,300,300,600.01,700.02,100,400.01,200,400.01,200,500.01,200,200,400.01
"14",4.0205,200,500.01,4700.68,21314.13,100,1500.07,1200.05,500.01,100,200,100,300,500.01,800.02,1200.05,200,300,500.01,400.01,0,300,200,100,300
"15",4.3035,300,200,3300.34,22515.77,300,900.03,1400.06,300,200,200,300,400.01,200,900.03,900.03,200,400.01,500.01,400.01,400.01,400.01,200,600.01,300
"16",4.5865,300,200,5701.01,20212.71,1000.03,700.02,1200.05,400.01,400.01,500.01,300,500.01,300,700.02,1100.04,400.01,400.01,200,200,600.01,400.01,200,300,100
"17",4.8695,400,400,4800.71,19912.33,400.01,1300.05,1200.05,600.01,100,200,300,100,700.02,600.01,600.01,100,500.01,200,200,500.01,400.01,200,300,200
"18",5.1525,200,700.02,4200.55,18310.43,400.01,1600.08,600.01,100,200,200,200,100,300,900.03,1100.04,100,500.01,500.01,700.02,300,300,200,500.01,500.01
"19",5.4356,100,600.01,3900.47,18210.32,600.01,1200.04,1100.04,400.01,200,300,200,100,300,600.01,1100.04,100,300,200,200,200,500.01,100,400.01,200
"20",5.7186,200,200,4400.6,20412.96,300,1300.05,1300.05,100,400.01,200,300,300,600.01,800.02,1300.05,200,300,300,500.01,100,500.01,200,500.01,200
"21",6.0016,400,0,4200.55,18710.89,400.01,1100.04,1300.05,600.01,300,200,200,200,200,800.02,800.02,400.01,300,100,300,300,500.01,0,300,200
"22",6.2846,200,100,3800.45,20212.71,700.02,1200.04,900.03,400.01,200,100,300,400.01,500.01,500.01,600.01,200,200,400.01,200,400.01,500.01,500.01,200,100
"23",6.5677,100,300,3200.32,18110.2,300,2000.12,1200.05,300,300,100,100,200,400.01,600.01,600.01,100,200,600.01,500.01,300,300,400.01,100,200
"24",6.8507,200,100,3800.45,20913.61,500.01,400.01,1300.05,400.01,500.01,300,200,500.01,400.01,1400.06,500.01,100,600.01,400.01,200,600.01,100,200,200,200
"25",7.1337,500.01,700.02,3500.38,20913.61,500.01,1900.11,1600.08,300,200,200,200,300,400.01,1200.05,700.02,200,900.03,100,400.01,300,300,300,400.01,300
"26",7.4167,400,300,3900.47,20813.48,300,1800.1,1300.05,200,300,100,300,200,300,900.03,600.01,200,300,300,100,200,300,0,300,600.01
"27",7.6998,500.01,100,4300.57,20713.35,600.01,1100.04,1100.04,300,500.01,200,500.01,300,200,500.01,800.02,100,400.01,600.01,200,400.01,400.01,400.01,300,300
"28",7.9828,100,800.02,4700.68,21614.53,200,1000.03,1600.08,200,400.01,300,300,0,0,500.01,1100.04,400.01,600.01,200,500.01,200,300,300,500.01,300
"29",8.2658,200,300,4500.63,21814.8,800.02,1000.03,1800.1,0,300,500.01,400.01,100,700.02,800.02,400.01,200,600.01,700.02,400.01,400.01,200,400.01,400.01,300
"30",8.5488,300,400,4600.66,22215.35,600.01,1600.08,500.01,400.01,400.01,800.02,300,100,500.01,700.02,500.01,300,200,200,300,400.01,100,200,100,300
"31",8.8319,200,500.01,3900.47,20412.96,300,100,1700.09,400.01,300,100,400.01,300,100,500.01,800.02,300,400.01,300,500.01,100,400.01,100,700.02,200
"32",9.1149,200,600.01,6001.11,20012.46,400.01,1300.05,1700.09,100,300,800.02,400.01,300,500.01,500.01,1000.03,0,300,600.01,500.01,300,300,100,500.01,300
"33",9.3979,500.01,300,3800.45,20713.35,1000.03,1200.04,1400.06,300,400.01,200,300,300,500.01,700.02,800.02,400.01,600.01,500.01,100,500.01,100,400.01,100,200
"34",9.6809,100,300,5000.77,21414.26,200,1600.08,1600.08,800.02,300,300,600.01,200,400.01,800.02,800.02,200,400.01,600.01,400.01,300,100,300,400.01,300
"35",9.964,200,400,4500.63,20513.09,600.01,700.02,800.02,100,300,300,500.01,500.01,0,1100.04,700.02,100,400.01,600.01,600.01,200,0,700.02,500.01,500.01
"36",10.247,200,400,4500.63,20613.22,1200.04,800.02,1500.07,200,100,400.01,500.01,300,200,600.01,600.01,100,700.02,300,300,200,200,200,400.01,200
"37",10.53,0,400,4400.6,18310.43,100,700.02,1300.05,300,500.01,200,300,300,300,400.01,1300.05,300,200,600.01,600.01,500.01,400.01,400.01,200,600.01
"38",10.813,300,600.01,4100.52,20012.46,700.02,1200.04,1000.03,200,100,300,500.01,100,200,1100.04,1100.04,300,600.01,300,400.01,400.01,400.01,0,300,200
"39",11.096,200,300,4800.71,20513.09,500.01,500.01,400.01,200,200,0,600.01,500.01,500.01,1000.03,400.01,200,600.01,400.01,900.03,500.01,500.01,300,500.01,400.01
"40",11.3791,300,300,4600.66,23216.77,700.02,1300.05,1000.03,500.01,400.01,200,600.01,300,300,800.02,1000.03,600.01,100,400.01,1100.04,300,500.01,600.01,100,400.01
"41",11.6621,300,100,3700.42,19111.36,400.01,1300.05,1400.06,200,100,500.01,600.01,300,100,800.02,700.02,200,800.02,100,500.01,100,600.01,200,400.01,200
"42",11.9451,400,400,4300.57,19812.21,300,1400.06,1200.05,100,300,0,0,300,300,700.02,900.03,500.01,300,200,400.01,300,300,100,300,0
"43",12.2281,200,500.01,4500.63,21414.26,500.01,1100.04,1000.03,800.02,400.01,400.01,500.01,200,600.01,600.01,500.01,300,600.01,100,500.01,400.01,200,400.01,100,300
"44",12.5112,300,300,3700.42,19611.96,600.01,1700.09,1300.05,200,100,400.01,100,600.01,300,800.02,700.02,300,100,400.01,100,200,100,100,400.01,200
"45",12.7942,400,400,4200.55,20913.61,700.02,900.03,1900.11,200,300,500.01,200,200,300,900.03,1100.04,400.01,700.02,200,600.01,200,300,200,200,400.01
"46",13.0772,100,400,4100.52,20613.22,500.01,1800.1,700.02,100,200,100,200,300,300,800.02,800.02,500.01,500.01,100,600.01,200,400.01,600.01,500.01,400.01
"47",13.3602,500.01,400,3300.34,22615.91,600.01,1300.05,800.02,300,200,100,600.01,100,800.02,1000.03,800.02,0,900.03,600.01,600.01,300,400.01,500.01,300,0
"48",13.6433,100,500.01,4900.74,22015.07,500.01,1200.04,1500.07,500.01,400.01,100,200,200,400.01,400.01,1000.03,200,400.01,500.01,100,200,200,200,100,400.01
"49",13.9263,300,0,4100.52,20913.61,300,1200.04,1100.04,500.01,400.01,300,0,200,600.01,500.01,1400.06,500.01,400.01,100,300,400.01,300,300,400.01,300
"50",14.2093,300,200,4900.74,21414.26,700.02,800.02,1500.07,300,300,200,300,100,100,700.02,1100.04,100,600.01,500.01,200,300,100,300,300,200
"51",14.4923,300,200,4200.55,22615.91,200,1400.06,1500.07,500.01,300,0,100,0,200,400.01,900.03,700.02,300,200,800.02,400.01,600.01,100,0,500.01
