"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"121",34.304,4800.7,72361.53,488884.97,43358.44,500.01,3900.47,3500.38,200,700.02,200,1500.07,1100.04,7601.82,5500.95,12404.91,101226.4,1100.04,500.01,1400.06,1300.06,7501.86,200,3100.33,9903.41
"122",34.587,1400.06,22816.08,549796.3,49877.31,1200.04,2800.24,1900.11,400.01,100,300,800.02,800.02,6501.33,6601.37,6201.23,53290.6,400.01,600.01,700.02,1200.05,4500.67,200,2300.18,3300.38
"123",34.8701,3900.46,23817.53,327587.09,49476.08,1300.05,3800.45,1800.1,200,300,500.01,400.01,300,5600.99,3900.48,2500.2,52688.56,600.01,400.01,2000.13,800.02,3900.5,0,1700.1,3100.33
"124",35.1531,2600.21,17409.37,261600.45,52786.59,800.02,4400.6,1600.08,100,600.01,0,1400.06,500.01,2500.2,4200.56,8202.15,49177.16,600.01,100,700.02,1000.03,7401.81,300,1900.13,2600.23
"125",35.4361,1800.1,21113.77,468185.36,48773.93,900.03,2600.21,2000.12,300,200,400.01,700.02,400.01,5200.85,3500.39,4100.54,36642.86,1000.03,600.01,1200.05,600.01,6901.58,400.01,1500.08,2400.2
"126",35.7191,2200.15,16208.12,346883.55,50077.94,900.03,2400.18,11404.06,300,400.01,500.01,600.01,700.02,2500.2,3300.34,5601,76586.99,1000.03,700.02,1400.06,600.01,5000.83,300,2000.14,2800.27
"127",36.0022,800.02,14306.33,669486.73,51983.97,700.02,1700.09,1900.11,400.01,800.02,200,600.01,700.02,3600.41,3300.34,4300.59,48374.67,500.01,700.02,1400.06,800.02,3700.45,400.01,1200.05,2700.25
"128",36.2852,3100.29,37443.3,481110.66,45263.68,700.02,3200.32,2800.25,300,1000.03,300,900.03,300,3500.39,2500.2,4600.68,15107.29,900.03,200,900.03,700.02,2300.18,500.01,1600.09,1500.08
"129",36.5682,1500.07,10703.54,192236.67,50178.25,600.01,1600.08,2700.23,300,700.02,500.01,1300.05,1100.04,3700.43,3800.45,3100.31,35540.32,800.02,600.01,800.02,1000.03,1900.12,400.01,1900.13,2700.25
"130",36.8512,2300.16,8102.03,161705.03,49977.63,800.02,2400.18,1800.1,500.01,300,600.01,800.02,700.02,3600.41,2300.17,3700.44,33034.84,700.02,400.01,600.01,800.02,3800.48,400.01,1400.07,2100.15
