"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9068,100,0,4400.6,19311.6,0,900.03,1100.04,0,0,0,0,0,100,400.01,800.02,0,0,0,200,0,0,100,0,0
"4",1.1898,0,0,4100.52,19812.21,200,800.02,1000.03,0,0,0,0,0,100,200,700.02,0,100,200,100,0,0,0,0,0
"5",1.4728,0,200,3900.47,19712.09,0,1000.03,1400.06,0,0,0,100,0,0,300,400.01,0,100,100,200,0,0,0,0,0
"6",1.7559,0,100,5801.04,20913.61,100,900.03,1600.08,0,0,0,0,100,0,500.01,800.02,0,100,0,200,0,0,0,0,0
"7",2.0389,0,0,4800.71,21013.73,300,700.02,1000.03,0,0,0,0,0,0,400.01,600.01,0,100,100,300,0,0,0,0,0
"8",2.3219,0,0,4900.74,19311.6,200,700.02,1000.03,0,0,100,0,100,0,500.01,600.01,0,200,100,300,0,0,0,0,0
"9",2.6049,0,0,4200.55,19011.24,0,1400.06,1100.04,0,0,0,0,0,0,700.02,300,100,200,300,0,0,0,0,0,0
"10",2.888,100,0,5500.94,18310.43,500.01,600.01,1700.09,0,0,0,0,0,0,200,1000.03,0,0,100,300,0,0,0,0,0
"11",3.171,100,100,4000.5,21214,0,600.01,1300.05,0,0,0,0,0,0,300,400.01,100,0,100,100,0,0,0,0,0
"12",3.454,0,100,3200.32,18010.09,300,900.03,1200.05,0,0,100,0,0,0,300,1000.03,0,300,0,200,0,0,0,0,0
"13",3.737,0,100,4200.55,20412.96,100,800.02,1100.04,0,0,0,0,0,0,400.01,400.01,0,300,0,400.01,0,0,0,0,0
"14",4.0201,0,0,3900.47,20312.84,400.01,1200.04,1300.05,100,0,0,100,0,0,500.01,700.02,0,0,0,200,0,0,0,0,0
