"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"115",32.6055,48170.68,394247.76,11402428.38,33434.76,1600.08,22215.39,17009.03,400.01,1200.05,300,7501.77,4000.5,64329.88,39148.21,79601.69,1800471.13,3300.36,1700.09,6601.42,7601.91,58211.98,500.01,18812.27,25222.07
"116",32.8885,46365.48,310961.21,7114664.22,31530.92,1500.07,15107.12,23517.27,100,1100.04,200,6101.17,3100.3,41955.28,37243.63,71563.05,1436805.79,3500.4,2400.19,5400.95,5701.08,38549.14,600.01,15007.81,19913.76
"117",33.1715,16308.11,232763.14,5254544.65,34236.44,1100.04,15607.59,33334.68,400.01,1000.03,200,5100.82,2600.21,38045.47,28625.78,68750.5,1543217.32,4100.55,1200.05,3000.29,6901.58,42058.49,900.03,12305.25,19413.08
"118",33.4546,28324.45,236009.67,5725639.97,31931.71,900.03,16808.81,14906.94,400.01,700.02,200,7001.54,4700.69,50580.33,29627.62,70759.41,1381124.74,3900.5,1200.05,7001.6,7701.96,53494.59,300,12105.08,16709.69
"119",33.7376,27723.42,287431.87,7994761.9,29126.38,500.01,25820.78,21915,0,800.02,200,10403.4,3400.36,65534.79,29026.51,85834.46,800254.85,3800.47,2600.22,6001.18,7601.91,60119.43,100,13606.42,18311.64
"120",34.0206,27222.59,239358.35,7086012.66,28224.77,900.03,15707.69,25320.01,500.01,2100.14,300,9502.83,4500.64,30629.47,25820.98,63428.12,1539128.84,3200.33,2300.17,5500.99,8002.12,48277.05,400.01,11704.75,17410.52
"121",34.3036,23316.57,229821.51,7506849.39,29226.56,500.01,12304.72,52184.94,400.01,900.03,100,8002.01,3600.41,28425.39,28725.96,64432.2,1376201.89,4500.66,1000.03,4700.72,7001.62,45167.45,200,11204.35,19312.94
"122",34.5867,29025.68,229618.66,6376416.94,38846.92,400.01,23116.66,18110.24,100,1100.04,200,8902.49,4700.69,44562.36,26822.64,60014.71,591160.8,2100.14,800.02,3800.47,8702.5,52892.47,200,10904.12,15808.67
"123",34.8697,31931.07,272476.3,6838794.68,28224.77,300,15307.31,19211.52,100,1200.05,400.01,9402.77,4000.5,36341.49,33635.59,73672.79,1440296.32,3400.38,1000.03,3400.38,10703.79,62930.85,100,7501.95,21115.47
"124",35.1527,26321.12,226474.79,5496597.39,31130.13,1100.04,17009.02,14306.39,500.01,500.01,100,7901.96,2400.18,38947.65,29327.06,53792.18,1159693.68,2100.14,1100.04,2600.22,10003.31,59717.85,100,6601.51,11704.76
