"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.6055,48156.7911111111,394173.685925926,11398166.6921296,13692.9506481482,1410.26407407407,21282.9523148148,15901.5799074074,381.491481481481,1182.45740740741,282.407407407407,7477.69592592593,3989.38888888889,64305.8059259259,38722.2761111111,78983.1561111111,1800454.46333333,3167.02638888889,1628.7937037037,6386.60361111111,7593.57666666667,58211.0540740741,496.306296296296,18803.0107407407,25210.032962963
"2",32.8885,46351.5911111111,310887.135925926,7110402.53212963,11789.1106481481,1310.25407407407,14174.6823148148,22409.8199074074,NA,1082.44740740741,182.407407407407,6077.09592592593,3089.18888888889,41931.2059259259,36817.6961111111,70944.5161111111,1436789.12333333,3367.06638888889,2328.8937037037,5186.13361111111,5692.74666666667,38548.2140740741,596.306296296296,14998.5507407407,19901.722962963
"3",33.1715,16294.2211111111,232689.065925926,5250282.96212963,14494.6306481482,910.224074074074,14675.1523148148,32227.2299074074,381.491481481481,982.437407407407,182.407407407407,5076.74592592593,2589.09888888889,38021.3959259259,28199.8461111111,68131.9661111111,1543200.65333333,3967.21638888889,1128.7537037037,2785.47361111111,6893.24666666667,42057.5640740741,896.326296296296,12295.9907407407,19401.042962963
"4",33.4546,28310.5611111111,235935.595925926,5721378.28212963,12189.9006481481,710.214074074074,15876.3723148148,13799.4899074074,381.491481481481,682.427407407407,182.407407407407,6977.46592592593,4689.57888888889,50556.2559259259,29201.6861111111,70140.8761111111,1381108.07333333,3767.16638888889,1128.7537037037,6786.78361111111,7693.62666666667,53493.6640740741,296.296296296296,12095.8207407407,16697.652962963
"5",33.7376,27709.5311111111,287357.795925926,7990500.21212963,9384.57064814815,NA,24888.3423148148,20807.5499074074,NA,782.427407407407,182.407407407407,10379.3259259259,3389.24888888889,65510.7159259259,28600.5761111111,85215.9261111111,800238.183333333,3667.13638888889,2528.9237037037,5786.36361111111,7593.57666666667,60118.5040740741,96.2962962962963,13597.1607407407,18299.602962963
"6",34.0206,27208.7011111111,239284.275925926,7081750.97212963,8482.96064814815,710.214074074074,14775.2523148148,24212.5599074074,481.491481481481,2082.54740740741,282.407407407407,9478.75592592593,4489.52888888889,30605.3959259259,25395.0461111111,62809.5861111111,1539112.17333333,3066.99638888889,2228.8737037037,5286.17361111111,7993.78666666667,48276.1240740741,396.306296296296,11695.4907407407,17398.482962963
"7",34.3036,23302.6811111111,229747.435925926,7502587.70212963,9484.75064814815,NA,11372.2823148148,51077.4899074074,381.491481481481,882.437407407407,NA,7977.93592592593,3589.29888888889,28401.3159259259,28300.0261111111,63813.6661111111,1376185.22333333,4367.32638888889,928.733703703704,4485.90361111111,6993.28666666667,45166.5240740741,196.296296296296,11195.0907407407,19300.902962963
"8",34.5867,29011.7911111111,229544.585925926,6372155.25212963,19105.1106481481,NA,22184.2223148148,17002.7899074074,NA,1082.44740740741,182.407407407407,8878.41592592592,4689.57888888889,44538.2859259259,26396.7061111111,59396.1761111111,591144.133333333,1966.80638888889,728.723703703704,3585.65361111111,8694.16666666667,52891.5440740741,196.296296296296,10894.8607407407,15796.632962963
"9",34.8697,31917.1811111111,272402.225925926,6834532.99212963,8482.96064814815,NA,14374.8723148148,18104.0699074074,NA,1182.45740740741,382.417407407407,9378.69592592593,3989.38888888889,36317.4159259259,33209.6561111111,73054.2561111111,1440279.65333333,3267.04638888889,928.733703703704,3185.56361111111,10695.4566666667,62929.9240740741,96.2962962962963,7492.69074074074,21103.432962963
"10",35.1527,26307.2311111111,226400.715925926,5492335.70212963,11388.3206481482,910.224074074074,16076.5823148148,13198.9399074074,481.491481481481,482.417407407407,NA,7877.88592592593,2389.06888888889,38923.5759259259,28901.1261111111,53173.6461111111,1159677.01333333,1966.80638888889,1028.7437037037,2385.40361111111,9994.97666666667,59716.9240740741,96.2962962962963,6592.25074074074,11692.722962963
