"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"3",0.9071,0,200,5100.81,20513.09,100,900.03,800.02,0,100,0,0,0,0,300,900.03,100,200,0,300,0,0,0,0,0
"4",1.1901,0,100,3500.38,20112.58,100,700.02,900.03,200,0,0,0,0,100,700.02,1100.04,0,200,100,100,0,0,0,0,0
"5",1.4731,0,0,4800.71,20713.35,100,1400.06,900.03,0,0,0,0,0,100,800.02,800.02,100,200,0,600.01,100,0,0,0,100
"6",1.7562,0,100,4700.68,18811.01,100,1000.03,900.03,100,0,0,0,0,100,500.01,1000.03,100,300,100,0,0,0,0,0,0
"7",2.0392,0,0,3800.45,20112.58,100,1300.05,900.03,0,0,100,0,200,0,500.01,1000.03,0,0,100,200,0,0,0,0,100
"8",2.3222,100,0,4700.68,21814.8,100,600.01,1700.09,0,0,0,100,0,0,400.01,500.01,0,100,0,300,0,0,0,0,0
"9",2.6052,100,100,4300.57,15907.87,100,900.03,600.01,0,0,0,0,0,100,600.01,500.01,100,300,100,200,0,0,100,0,0
"10",2.8883,0,200,4600.66,18710.89,300,1100.04,700.02,0,0,100,0,0,100,500.01,900.03,0,0,100,200,0,0,0,0,0
"11",3.1713,0,300,4900.74,18811.01,400.01,600.01,1400.06,0,0,0,0,0,100,900.03,400.01,0,100,300,100,0,0,0,0,200
"12",3.4543,0,100,5901.08,18310.43,300,1000.03,1200.05,100,100,0,0,0,100,700.02,500.01,0,600.01,100,600.01,0,0,0,0,100
"13",3.7373,0,100,5000.77,20613.22,100,1600.08,800.02,0,0,0,100,0,0,900.03,300,0,500.01,200,900.03,0,0,0,0,0
"14",4.0204,100,0,4500.63,18010.09,200,800.02,1700.09,100,100,100,0,100,0,300,800.02,0,0,300,200,0,0,0,0,0
"15",4.3034,0,0,4200.55,20012.46,100,500.01,1200.05,0,0,0,0,0,200,600.01,500.01,0,300,0,300,0,0,0,0,100
"16",4.5864,0,100,5600.97,19511.84,400.01,1300.05,1600.08,0,0,0,100,0,0,900.03,200,0,100,100,200,0,0,0,0,0
"17",4.8694,0,100,4500.63,20312.84,200,1400.06,1300.05,100,0,0,0,0,0,400.01,600.01,0,300,200,100,0,0,0,0,0
"18",5.1525,0,0,4400.6,18811.01,100,1400.06,700.02,0,0,0,0,0,0,300,900.03,0,300,200,300,100,0,0,0,100
"19",5.4355,0,0,3500.38,20513.09,400.01,900.03,1300.05,0,0,0,0,0,0,700.02,300,0,100,200,600.01,0,0,0,0,0
"20",5.7185,0,0,4400.6,18811.01,400.01,1000.03,700.02,0,0,0,100,100,0,300,700.02,100,100,0,300,100,0,0,0,100
"21",6.0015,100,0,4600.66,17509.54,100,800.02,1100.04,0,100,0,200,0,0,500.01,600.01,100,200,100,300,0,0,0,0,100
"22",6.2845,0,0,5100.81,21013.73,100,1300.05,900.03,0,0,0,100,0,0,400.01,400.01,0,100,100,200,100,0,0,0,0
"23",6.5676,0,0,4200.55,19611.96,100,600.01,900.03,0,100,0,0,100,200,800.02,1300.05,0,100,300,300,0,100,0,100,0
"24",6.8506,0,100,3200.32,20312.84,200,1000.03,1000.03,100,0,100,0,0,0,600.01,200,0,200,0,100,0,0,0,0,100
"25",7.1336,0,0,3400.36,20412.96,100,1100.04,700.02,0,0,0,0,0,0,500.01,700.02,100,400.01,100,300,0,0,0,0,0
"26",7.4166,0,100,4800.71,16108.07,200,700.02,1000.03,0,0,100,100,100,0,400.01,400.01,100,700.02,100,200,0,0,0,0,0
"27",7.6997,0,100,3700.42,17009,300,800.02,800.02,0,100,0,0,0,0,600.01,800.02,100,100,200,200,0,0,0,100,0
"28",7.9827,0,100,3900.47,20112.58,0,1200.04,800.02,0,0,100,0,0,100,400.01,400.01,0,0,0,400.01,0,0,0,0,100
"29",8.2657,0,100,4400.6,20913.61,300,1200.04,800.02,0,0,0,0,0,0,300,400.01,100,100,0,0,0,0,0,0,0
"30",8.5487,0,0,5600.97,21414.26,400.01,1200.04,300,0,0,0,0,0,0,300,100,0,0,0,400.01,0,0,100,0,0
"31",8.8318,0,0,3700.42,16808.79,200,700.02,600.01,100,0,0,0,100,0,500.01,300,0,400.01,100,500.01,0,0,0,0,100
"32",9.1148,0,0,4000.5,19211.48,100,900.03,800.02,0,100,0,0,0,100,600.01,800.02,0,0,200,600.01,0,0,0,0,0
"33",9.3978,0,0,4500.63,20913.61,500.01,1000.03,600.01,0,100,0,0,0,0,500.01,400.01,0,400.01,100,300,0,0,0,0,0
"34",9.6808,0,100,4800.71,18010.09,200,500.01,700.02,0,0,0,0,0,0,800.02,1000.03,0,200,0,400.01,0,0,0,100,0
"35",9.9639,0,100,4800.71,19011.24,300,800.02,800.02,100,0,0,100,0,0,500.01,800.02,0,200,300,700.02,0,0,0,0,0
"36",10.2469,0,100,3900.47,17609.65,100,700.02,1100.04,100,0,0,0,0,100,600.01,500.01,100,100,100,500.01,0,0,0,100,0
"37",10.5299,0,0,4600.66,22115.21,200,400.01,500.01,100,0,0,0,0,0,200,800.02,0,200,0,200,0,0,0,0,0
"38",10.8129,0,100,4200.55,18210.32,300,1500.07,900.03,0,100,0,100,0,100,400.01,600.01,0,200,0,300,0,0,0,0,100
"39",11.096,0,0,4200.55,17409.43,100,900.03,500.01,0,0,100,0,0,0,700.02,900.03,0,200,100,100,100,0,0,0,100
"40",11.379,0,100,3900.47,18710.89,100,900.03,1100.04,0,0,0,100,0,100,400.01,900.03,0,500.01,100,600.01,0,0,0,0,0
"41",11.662,0,100,4300.57,17509.54,300,1300.05,600.01,200,100,100,0,100,0,400.01,600.01,0,100,100,600.01,0,0,0,0,0
"42",11.945,0,0,3500.38,19912.33,300,500.01,900.03,0,0,100,100,100,100,200,800.02,100,200,0,700.02,0,0,0,0,0
"43",12.2281,100,0,4100.52,21314.13,200,1000.03,1000.03,0,0,0,300,0,0,400.01,800.02,0,200,0,400.01,0,0,0,0,0
"44",12.5111,0,100,3700.42,19511.84,400.01,1100.04,800.02,100,0,0,100,0,0,600.01,1200.05,0,200,100,200,0,0,0,0,0
"45",12.7941,0,100,3800.45,20513.09,500.01,1100.04,1300.05,0,0,0,0,100,100,500.01,1300.05,0,300,200,400.01,0,0,0,0,100
"46",13.0771,0,0,3500.38,21214,200,700.02,700.02,0,0,0,100,0,0,0,600.01,0,200,100,300,0,0,0,0,0
"47",13.3601,0,200,4500.63,17209.21,100,400.01,1100.04,0,0,0,100,0,0,200,700.02,0,300,100,200,0,0,0,0,0
"48",13.6432,0,100,4100.52,18510.66,100,1000.03,1100.04,0,0,0,100,0,0,100,900.03,0,0,0,100,0,0,0,0,0
"49",13.9262,0,0,4000.5,21113.87,200,1000.03,1500.07,0,0,0,0,100,0,500.01,500.01,0,300,100,0,0,0,0,100,200
"50",14.2092,0,100,3500.38,18310.43,200,1000.03,900.03,0,0,0,0,0,0,200,800.02,0,300,100,600.01,100,0,0,0,0
"51",14.4922,0,0,4800.71,18710.89,100,900.03,1300.05,0,0,0,0,0,0,400.01,800.02,0,200,200,300,0,0,0,0,0
"52",14.7753,0,0,4300.57,20312.84,300,1400.06,1000.03,0,100,0,0,0,100,400.01,600.01,0,400.01,0,500.01,0,0,0,0,0
"53",15.0583,0,0,4000.5,21314.13,0,900.03,1900.11,100,0,0,0,0,100,400.01,600.01,100,200,100,700.02,0,0,0,0,0
"54",15.3413,0,100,3400.36,19912.33,200,900.03,1100.04,0,0,0,100,0,0,500.01,800.02,0,200,0,200,0,0,0,100,100
"55",15.6243,0,0,3200.32,19712.09,400.01,1100.04,1100.04,0,0,0,100,0,0,200,600.01,0,100,200,300,0,0,0,0,100
"56",15.9074,100,100,4100.52,19311.6,300,1000.03,900.03,0,0,0,0,0,0,1000.03,500.01,0,300,100,300,0,0,100,0,0
"57",16.1904,100,0,3500.38,18610.77,400.01,1100.04,500.01,0,0,0,0,0,0,600.01,900.03,0,300,0,1100.04,0,0,0,0,0
"58",16.4734,100,300,4300.57,21214,100,600.01,1000.03,0,0,0,0,200,100,600.01,500.01,0,400.01,300,600.01,0,0,0,0,0
"59",16.7564,0,0,4100.52,19111.36,200,800.02,1200.05,0,0,0,200,0,0,300,200,0,200,0,600.01,0,0,100,100,100
"60",17.0395,200,100,3600.4,20112.58,200,1000.03,1300.05,0,0,0,0,0,100,600.01,600.01,0,600.01,100,200,0,100,0,0,0
"61",17.3225,0,0,4600.66,18310.43,400.01,800.02,1200.05,100,0,0,0,0,100,300,100,0,300,300,900.03,0,0,0,0,100
"62",17.6055,0,100,4000.5,21314.13,0,1200.04,1000.03,0,0,0,0,0,0,500.01,700.02,0,400.01,100,300,0,0,0,0,0
"63",17.8885,100,100,4800.71,19511.84,200,800.02,1300.05,0,0,0,0,0,0,800.02,400.01,0,300,100,500.01,0,0,0,0,0
"64",18.1716,100,100,4200.55,18310.43,100,1200.04,900.03,100,0,100,0,0,0,300,600.01,0,100,100,500.01,0,0,0,0,0
"65",18.4546,0,100,4400.6,19411.72,200,1000.03,900.03,0,0,0,0,0,0,300,900.03,0,300,100,500.01,0,100,0,100,100
"66",18.7376,0,0,3500.38,18210.32,0,1200.04,1300.05,0,0,0,0,0,0,400.01,900.03,0,500.01,200,200,0,0,0,0,0
"67",19.0206,200,100,3000.28,22215.35,0,1400.06,1100.04,0,100,0,0,0,0,700.02,400.01,200,100,100,700.02,0,100,0,0,0
"68",19.3037,0,0,4000.5,16708.69,500.01,800.02,1200.05,0,100,0,0,0,0,800.02,400.01,0,400.01,0,400.01,0,0,0,200,0
"69",19.5867,0,0,4300.57,15507.48,200,900.03,1100.04,0,100,0,0,0,0,600.01,500.01,100,100,0,200,0,0,0,0,100
"70",19.8697,100,100,5500.94,19011.24,100,900.03,800.02,0,0,0,0,0,100,300,1000.03,0,200,100,200,0,0,0,0,0
"71",20.1527,0,0,4600.66,19511.84,100,1300.05,1300.05,0,0,0,100,100,200,400.01,600.01,0,600.01,0,400.01,0,0,0,0,0
"72",20.4357,100,0,3500.38,20312.84,200,700.02,1000.03,0,0,0,100,0,0,700.02,500.01,0,200,0,200,0,0,0,0,0
"73",20.7188,100,0,3700.42,21013.73,200,1300.05,900.03,0,0,0,0,0,100,500.01,1100.04,0,100,100,200,100,0,0,0,0
"74",21.0018,0,100,5100.81,19311.6,200,1200.04,900.03,0,100,0,0,0,0,200,900.03,0,0,0,100,0,0,0,0,0
"75",21.2848,0,100,4700.68,18410.54,100,1000.03,1000.03,100,0,0,0,0,0,600.01,900.03,0,400.01,100,300,0,100,0,0,0
"76",21.5679,100,0,4900.74,19511.84,500.01,1300.05,1400.06,0,100,0,0,100,0,400.01,1100.04,0,300,0,0,0,0,0,0,0
"77",21.8509,100,100,3700.42,20212.71,500.01,700.02,1600.08,0,0,100,0,0,0,400.01,400.01,0,100,0,400.01,0,0,0,0,100
"78",22.1339,0,100,4200.55,22015.07,0,900.03,1100.04,100,0,0,0,0,0,600.01,600.01,100,400.01,0,300,0,0,0,0,0
"79",22.4169,0,100,4400.6,20713.35,300,800.02,700.02,100,0,0,0,0,100,500.01,800.02,0,300,200,400.01,0,0,0,0,200
"80",22.6999,0,100,4200.55,20513.09,500.01,500.01,1200.05,0,0,0,0,0,0,300,700.02,0,100,0,100,0,100,100,0,0
"81",22.983,0,0,4100.52,18210.32,200,900.03,1000.03,0,100,0,100,100,0,100,400.01,0,200,100,700.02,100,0,0,0,0
"82",23.266,0,0,4700.68,19611.96,100,1100.04,1700.09,0,100,100,0,100,0,500.01,500.01,100,400.01,200,300,0,0,0,0,0
"83",23.549,0,0,4400.6,19311.6,400.01,1000.03,1000.03,0,0,0,100,0,0,100,700.02,0,0,0,600.01,0,0,0,0,0
"84",23.832,0,200,4100.52,21814.8,400.01,1100.04,800.02,0,0,0,100,0,0,400.01,600.01,0,100,0,100,0,0,0,0,0
"85",24.1151,100,0,4500.63,20713.35,100,800.02,1500.07,0,100,0,0,0,0,900.03,1000.03,100,400.01,300,400.01,0,100,0,0,0
"86",24.3981,0,100,4100.52,21013.73,0,800.02,1000.03,0,0,0,100,0,0,500.01,600.01,0,400.01,0,200,0,0,0,0,0
"87",24.6811,100,0,3600.4,20713.35,200,900.03,1000.03,0,200,0,0,100,0,600.01,700.02,0,500.01,0,600.01,0,0,0,0,0
"88",24.9641,0,0,3200.32,21013.73,0,1200.04,800.02,0,0,0,0,100,0,0,800.02,0,100,200,200,0,0,100,0,0
