"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.0397,13982.8318518519,44603.2566666667,608992.756203704,96617.3925,11899.0025925926,152559.574814815,3976.66944444444,99784.7940740741,27599.7959259259,4583.06740740741,69217.7425925926,30807.6177777778,19682.5803703704,22958.9175925926,23465.7552777778,195493.60962963,58267.1227777778,38561.702962963,84276.137037037,22607.6507407407,150738.524814815,209840.770740741,60315.7648148148,156314.60037037
"2",32.3228,16284.9618518519,49417.2366666667,661302.576203704,101049.8525,10297.8825925926,160234.374814815,3276.46944444444,109850.504074074,30104.3159259259,3382.76740740741,60683.0525925926,28202.7877777778,22586.4403703704,20956.0875925926,20461.4252777778,184359.65962963,53549.8627777778,33549.892962963,71109.187037037,22507.5007407407,162155.894814815,229422.900740741,56901.9148148148,171890.65037037
"3",32.6058,17786.5218518518,52527.0266666667,758143.156203704,109112.0225,15802.4225925926,182370.384814815,3976.66944444444,120829.334074074,29603.3859259259,4383.01740740741,72030.1825925926,32009.9977777778,22586.4403703704,23960.4275925926,27372.2452777778,227522.25962963,63487.8927777778,38160.702962963,106816.817037037,27916.5207407407,184409.084814815,256249.750740741,73476.6248148148,190421.66037037
"4",32.8888,21490.9618518519,60956.5566666667,1397881.2062037,128679.5125,14100.8125925926,208284.854814815,4176.73944444445,143414.934074074,35515.4259259259,5983.53740740741,77757.0125925926,38123.4477777778,26792.9803703704,27265.8475925926,24968.1352777778,237265.37962963,70418.2027777778,41068.232962963,91819.547037037,27615.9707407407,191699.024814815,268662.990740741,73376.1148148148,202890.25037037
"5",33.1718,21390.8318518518,58346.9366666667,1608032.9662037,132717.0125,18004.7625925926,208487.494814815,5877.37944444444,134134.864074074,32408.8259259259,5183.25740740741,76953.1225925926,38123.4477777778,33104.8603703704,32575.9875925926,29175.5752777778,256871.37962963,79562.9627777778,40566.892962963,101581.217037037,29619.7607407407,194231.074814815,257368.550740741,73275.6048148148,187078.25037037
"6",33.4549,20289.4318518519,64972.1566666667,1573779.6462037,134130.3725,17904.6525925926,218114.904814815,6277.55944444445,148763.514074074,35314.9859259259,5583.38740740741,79967.9225925926,40028.1277777778,30299.2703703704,28568.1675925926,29876.9252777778,263276.53962963,68609.9927777778,45581.002962963,91819.547037037,28217.0807407407,190483.784814815,251673.630740741,65739.3948148148,179178.71037037
"7",33.7379,18687.5218518518,57744.7866666667,1459852.3962037,118388.4825,14100.8125925926,191779.814814815,5277.12944444444,134336.554074074,33410.8859259259,3382.76740740741,67510.4425925926,34314.7877777778,27594.3503703704,26764.9775925926,25268.6252777778,233002.01962963,68609.9927777778,45681.302962963,84175.577037037,25412.1107407407,181676.254814815,259301.240740741,74883.8348148148,189813.71037037
"8",34.0209,21991.6218518519,59952.8066666667,1541163.1462037,131202.8325,16302.9325925926,205043.274814815,5177.08944444444,150984.194074074,34713.6659259259,4483.04740740741,82179.1325925926,39627.1177777778,29097.0303703704,29770.4075925926,32482.2052777778,252094.62962963,70820.0527777778,40767.422962963,91618.337037037,27315.4207407407,185826.304814815,242728.780740741,70964.0748148148,200760.71037037
"9",34.3039,21190.5718518519,56540.5366666667,1512196.3462037,128477.6725,13600.3725925926,196334.744814815,5077.04944444444,152902.314074074,36417.4559259259,4783.12740740741,78761.9325925926,41732.4977777778,29397.5803703704,22958.9175925926,26971.5352777778,233407.99962963,67505.0827777778,41469.312962963,86589.057037037,28918.4007407407,192104.124814815,240899.800740741,64935.7648148148,191637.64037037
"10",34.5869,19588.5818518518,51523.8066666667,1442234.7262037,125349.3525,12899.7925925926,194006.504814815,4376.79944444444,137765.554074074,32909.8459259259,3782.85740740741,76450.7125925926,33513.0777777778,26492.4703703704,25963.6275925926,29476.1452777778,240006.72962963,66299.8127777778,45881.902962963,101480.537037037,28116.8907407407,206999.044814815,260115.090740741,67547.7248148148,181710.16037037
