"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"1",32.89,24697.3237037037,64683.9196296296,1619416.97842593,145895.796666667,14813.4901851852,211137.535833333,5723.63148148148,141607.187407407,29609.8674074074,3786.56111111111,73240.2922222222,37333.5948148148,33298.7988888889,29094.0992592593,30742.5822222222,240512.597777778,75856.5782407407,41793.2711111111,102142.22462963,30122.6025,199401.468518519,253710.078518519,75392.0003703704,191557.596666667
"2",33.173,21092.2937037037,63679.9396296296,1441105.73842593,121564.536666667,17416.1301851852,204957.725833333,4223.06148148148,138177.357407407,32014.5074074074,4486.75111111111,77359.6922222222,36030.5848148148,31294.7288888889,28092.2592592593,28037.4022222222,269377.267777778,72942.4382407407,46005.3511111111,108485.76462963,34030.8825,208016.518518519,315867.478518519,75693.5703703704,218334.716666667
"3",33.4561,21192.4237037037,65085.5196296296,1623600.17842593,135391.496666667,16515.1701851852,203134.635833333,4323.09148148148,133739.827407407,34419.4974074074,5687.13111111111,76555.8322222222,38135.4848148148,29090.5488888889,23584.8192592593,28638.5122222222,208558.857777778,62697.1282407407,39186.3811111111,89965.9446296296,26014.9825,170450.158518519,230542.498518519,62832.0003703704,169179.866666667
"4",33.7391,14284.9437037037,51135.4896296296,1213869.79842593,115714.336666667,12611.5901851852,163482.695833333,3922.96148148148,109456.087407407,26003.5874074074,5086.93111111111,63699.4122222222,27613.7748148148,22279.5388888889,18778.2792592593,18823.2322222222,177074.397777778,49247.9982407407,31368.3611111111,74784.3046296296,21307.6125,138929.728518519,212074.428518519,55903.5603703704,159874.446666667
"5",34.0221,11182.5337037037,39202.1996296296,1131940.69842593,107447.006666667,14613.3101851852,149950.555833333,2922.68148148148,109858.837407407,24901.8374074074,4186.66111111111,68017.2022222222,29016.2648148148,20877.6388888889,20079.9092592593,23229.3322222222,174849.587777778,58380.0882407407,33472.8211111111,75588.2546296296,26415.6725,156399.318518518,215218.518518519,65744.9503703704,151585.506666667
"6",34.3051,15886.4237037037,46922.7396296296,754926.188425926,102911.856666667,12911.8301851852,147931.815833333,3722.90148148148,114390.477407407,28507.8674074074,3686.54111111111,67615.5022222222,32823.6548148148,25083.7188888889,26890.1492592593,30041.2022222222,221332.587777778,59283.5482407407,38484.6011111111,81719.7446296296,29421.2225,182995.698518519,213291.428518519,68959.9203703704,185174.896666667
"7",34.5882,18088.7037037037,47023.0296296296,1175481.80842593,100090.636666667,12911.8301851852,155099.505833333,3322.79148148148,98082.5774074074,24100.6074074074,4286.69111111111,65004.6622222222,32322.6348148148,23280.9788888889,23684.9692592593,23229.3322222222,200960.387777778,58580.8482407407,36279.2111111111,85238.9246296296,24512.4725,147611.528518519,228410.438518519,58915.5203703704,172215.546666667
"8",34.8712,15085.6637037037,46922.7396296296,657375.008425926,113697.526666667,11110.4601851852,156412.255833333,4022.99148148148,103919.307407407,24601.3674074074,4086.64111111111,56672.9322222222,29216.6348148148,21478.4388888889,17676.9792592593,17021.0922222222,161709.377777778,50351.5882407407,36479.6911111111,78301.8946296296,24312.1425,152358.328518519,211871.628518518,61626.8203703704,156335.896666667
"9",35.1542,16386.9137037037,52138.6896296296,649462.508425926,111277.686666667,13812.5901851852,167726.455833333,4523.16148148148,132428.987407407,30110.7974074074,3886.59111111111,78364.5922222222,32322.6348148148,26686.3288888889,28993.9092592593,30942.9922222222,227926.247777778,67216.2782407407,42495.2111111111,98317.2246296296,35835.0525,209131.778518519,279255.588518519,78810.2103703704,205447.116666667
"10",35.4372,20992.1637037037,57356.3296296296,849789.808425926,141753.866666667,14413.1201851852,194730.805833333,4223.06148148148,148166.257407407,31613.7074074074,4386.72111111111,77460.1822222222,37634.2948148148,32096.3288888889,27491.1992592593,30441.9922222222,251178.227777778,70330.2482407407,44801.7811111111,103652.35462963,33629.9925,226377.798518519,276607.438518519,72376.6003703704,207881.706666667
