"","Time","Mg25","Ca43","Ca44","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Ni62","Cu63","Cu65","Zn66","Zn68","Sr86","Sr88","Sn118","Sn119","Sn120","Ba137","Ba138","Ce140","Pb206","Pb208"
"115",32.6059,16508.31,51281.18,741427.31,127100.85,12604.95,175354.01,5200.85,120049.22,28124.74,4400.61,66438.22,30930.04,25320.15,22115.39,24619.33,224702.01,67146.88,34639.16,89762.66,33036.07,198597.38,275086.36,79418.14,203832.63
"116",32.8889,18210.11,56899.93,1472068.39,134157.88,14106.2,194169.02,7001.53,134866.7,34537.31,4400.61,69551.47,36441.68,28525.57,26722.47,28425.76,237285.75,67146.88,36343.1,90466.79,31031.83,196571.12,263787.14,70773.28,200993.13
"117",33.1719,15807.62,57401.7,1397705.4,145859.21,15107.11,187793.73,4500.63,123575.95,33535.18,4700.69,70254.54,32032.22,28425.39,26021.31,27924.86,239417.88,72571.54,34538.93,96503.53,32835.64,220599.61,274271.71,72481.74,202311.41
"118",33.455,21814.51,58405.27,1439876.4,149492.39,16308.28,188198.43,6401.28,139405.4,32332.7,4900.75,80603.35,39950.1,29226.84,31831.88,35440.03,250997.22,73978.25,45266.85,111907.96,34940.35,218570.42,306585.16,81529.87,235205.52
"119",33.738,17809.67,63524.53,1743342.62,148281.23,14906.92,203888.6,5801.05,141523.89,36040.63,6701.41,83015.69,34437.23,28725.93,28725.96,33235.21,289249.15,78601.19,44063.34,98516.3,34439.2,231054.2,305666.8,83541.33,219256.77
"120",34.021,21914.64,55796.09,1547207.46,151208.32,18510.67,215539.56,6001.13,150606.34,33535.18,5000.78,83116.22,38446.4,29427.21,28024.71,31130.9,247746.03,80108.98,44163.63,107274.94,35341.28,223237.94,345206.48,80624.81,235205.52
"121",34.304,21714.37,68344.11,1723506.09,169388.39,17209.22,228416.05,5400.91,165755.18,35238.84,5000.78,91964.63,41654.46,36742.41,35138.85,39349.35,291082.7,81817.98,48576.98,111706.5,34840.12,238874.49,350629.45,99743.84,274287.9
"122",34.5871,25620.01,75676.66,1992706.88,174037.69,19111.37,244246.9,6201.2,166159.34,36842.45,6301.24,90757.74,45063.73,34537.47,36341.55,35239.59,314734.02,88555.3,47874.77,118053.91,40955.42,265005.04,345206.48,96421.35,260026.93
"123",34.8701,23817.29,73968.78,1845751.02,169893.68,15907.88,217059.87,6601.36,153433.04,35639.73,5701.02,82613.61,39248.35,28826.11,28425.42,35039.14,250997.22,83426.62,46771.36,113116.8,34038.29,224861.77,305768.85,81731.01,223318.49
"124",35.1531,22014.77,61817.93,1586856.48,138191.86,13005.27,213006.04,6501.32,141725.66,32833.72,5100.82,79095.83,37143.31,31932.04,30028.37,32934.58,266754.74,75385.08,44063.34,120069.51,37747.09,250053.28,347968.88,89979.91,235713.73
"125",35.4361,21113.59,70252.26,1797868.99,164134.27,16908.9,224967.78,5400.91,151514.87,36341.3,5901.09,82111.02,41353.67,39549.13,33034.33,32333.33,286193.73,84834.32,47874.77,111303.58,35241.04,247308.65,328131.55,95314.02,255344.24
"126",35.7192,22315.18,71758.86,1662298.67,163932.22,15407.39,224764.97,4600.66,143037.28,36040.63,5200.85,76784.57,38245.91,31831.83,28425.42,31932.5,276623.91,80611.6,45266.85,114728.75,38448.85,248528.4,364963.58,92093.19,253715.83
"127",36.0022,25219.39,69750.1,1846272.31,183643.75,17609.65,236836.94,6501.32,170504.75,37945.03,6501.33,86333.25,38546.64,35539.68,37243.63,36642.8,282629.84,82722.82,41456.07,106771.44,33136.29,219990.83,299545.81,80624.81,215297.71
"128",36.2852,20212.45,64026.5,1625911.36,142832.19,17109.11,230140.46,6401.28,160299.95,41654.26,5701.02,99308.51,44462.04,36541.95,30128.56,32433.53,285888.24,80008.46,45968.94,123799.08,38248.34,251578.3,338967.32,101858.54,244356.04
"129",36.5682,21514.11,65833.73,1605965.56,138292.73,16608.59,190120.93,4800.72,132849.91,28425.28,3900.48,72062.59,31030.23,27724.15,24619.08,25721.09,227644.1,70059.89,37846.74,86242.5,27525.05,199002.65,285782.53,73989.37,194809
"130",36.8512,21413.98,62420.23,1449661.26,150198.92,16508.49,199939.31,6101.16,138295.82,30028.21,5000.78,72866.23,36040.77,30429.09,27022.98,30529.72,240636.33,66544.26,42960.22,91472.76,31232.24,188266.3,303524.18,67356.98,182752.47
"131",37.1343,17909.78,55093.68,1337346.81,129419.24,12304.71,172624.61,4900.75,127405.85,30428.96,5400.91,67241.58,30328.88,28425.39,20813.64,23918.24,192577.9,56704.79,31231.84,83829.13,27725.41,181382.82,251682.89,69768.4,188323.58
"132",37.4173,16908.72,52083.74,1169269.07,121457.44,13205.43,173130.02,4500.63,118538,28525.46,3900.48,74272.7,33334.89,32433.05,28926.33,30529.72,255773.66,81717.44,49780.84,105563.09,39351.17,243853.11,341114.92,89376.17,239983.4
"133",37.7003,22415.32,67942.43,1143045.24,191535.1,17509.54,230343.34,6101.16,157775,40751.93,5500.95,88947.57,37043.07,32934.08,29327.06,30329.33,276623.91,84130.46,46470.45,99522.79,33236.51,228211.46,330175.45,77909.94,241305.21
"134",37.9833,19111.13,69549.23,1624322.99,141621.55,18610.78,219796.78,8102.05,148789.44,33234.55,6001.13,87238.16,40852.38,31631.44,30629.52,32834.37,256180.23,70260.8,44163.63,110497.76,36343.65,245580.77,358613.95,89678.04,230226.01
"135",38.2664,22715.73,67139.08,1691156.29,155852.4,16808.8,213107.35,5200.85,154644.63,38245.74,5000.78,82714.13,39849.84,31531.24,26321.8,29627.99,240534.82,66745.13,35541.22,99724.09,29328.43,207516.09,294140.95,75296.11,212861.87
"136",38.5494,19111.13,69147.52,1699680.31,173330.11,16007.98,224359.36,6001.13,150303.51,35639.73,6701.41,77387.47,38145.67,33134.49,27624.01,27524.16,251200.45,61322.53,42157.99,100126.71,32835.64,233288.16,306483.11,84647.76,243745.81
"137",38.8324,19811.97,66134.96,1857051.6,171207.52,18010.1,229227.52,6001.13,152726.32,36040.63,5600.98,86835.98,40050.35,32633.46,29126.69,34237.37,238199.49,70160.35,38247.74,97308.61,29428.63,213802.89,308217.95,87162.68,214079.74
"138",39.1154,19411.49,70453.13,1704336.37,162113.91,14906.92,230647.66,7301.67,146669.99,36140.85,4700.69,86031.63,43760.1,39649.38,38045.53,32934.58,298317.05,79505.85,44665.09,115736.29,39551.69,220092.29,312402.77,82233.85,232055.03
"139",39.3985,23116.29,68143.27,1705427.58,167165.29,15607.58,224663.55,5200.85,162118.16,36341.3,4800.72,82814.66,37043.07,34537.47,26121.47,30730.11,259128.18,72571.54,44564.79,94189.17,30731.22,182091.26,273864.41,71275.75,167569.44
"140",39.6815,16908.72,55595.4,1444205.01,130830.61,15107.11,187186.7,5801.05,137791.48,30228.58,4900.75,77588.45,40150.6,29727.77,30228.75,28726.31,256281.87,77495.58,43762.48,109389.85,37346.09,245784.06,337638,79217.03,229514.78
"141",39.9645,24618.47,62721.4,1544758.24,155044.63,15907.88,197104.52,3800.45,145358.08,38145.51,5801.05,82613.61,41754.72,33835.97,33936.23,37143.97,296584.58,82722.82,47674.14,109792.71,44164.44,248630.06,367934.48,88470.61,231038.87
"142",40.2475,21914.64,61115.27,1610257.85,150703.62,17709.76,207636.26,5000.78,164340.68,34036.23,5701.02,80100.83,41955.24,37744.75,29627.62,33135,283444.37,76792.05,45066.26,106670.73,35541.75,242836.94,304850.52,87464.5,229311.6
"143",40.5306,21013.46,60814.13,1718110.39,179598.39,18210.32,229227.52,6901.49,171717.64,37744.55,4900.75,94781.06,46668.34,39348.63,39148.21,33936.71,318509.26,84532.66,50483.13,116038.58,36243.41,283842.76,369266.46,92998.97,247916.12
"144",40.8136,20112.33,67139.08,1843289.49,175958.44,19611.97,254403.08,4700.69,156260.23,39949.91,5400.91,87740.91,41754.72,36241.26,29928.18,35540.26,277336.36,88655.88,44564.79,102743.98,33136.29,244259.6,357692.44,98938.31,254835.36
"145",41.0966,20612.95,77786.63,1887206.68,180002.88,17409.44,247090,7101.57,173132.78,42055.3,7501.76,96591.88,43058.19,35940.58,29226.88,39950.87,291388.31,85337.11,45668.04,126521.22,40855.16,261342.02,343672.03,102462.8,277855.33
"146",41.3796,24718.62,73466.5,1969669.18,180913.03,18410.55,234908.89,7401.71,180311.52,37544.08,5500.95,93071.03,43960.65,33635.54,30930.1,32433.53,264008.77,74681.65,47272.9,103549.39,34338.97,235116.19,335797.57,78513.2,228702.01
"147",41.6627,22014.77,61817.93,1637903.06,177677.21,16708.69,226387.58,5200.85,142331.01,33936.02,5300.88,71459.88,37243.54,26722.44,26021.31,33435.64,228151.4,68954.89,40052.34,91975.75,26823.79,185431.55,248734.58,63238.39,183258.85
"148",41.9457,19211.25,56799.57,1333951.79,139099.65,17009.01,202977.13,6101.16,133555.75,28425.28,4600.66,66538.64,32232.62,32533.25,30429.14,32934.58,263195.22,77395.08,47674.14,111605.76,33336.73,237858.65,336717.73,98334.2,231445.32
"149",42.2287,20713.08,63926.1,1750326.6,166356.95,16308.28,226488.99,5801.05,166967.7,37042.91,4800.72,71962.14,36241.23,23617.53,22515.96,26622.6,195412.72,60017.38,39049.76,87549.89,29629.02,184115.59,276002.89,67557.91,186196.17
"150",42.5117,15907.72,58405.27,1308743.68,118233.51,13305.51,154036.64,4900.75,111185.44,25320.06,4500.64,66036.56,33234.67,26421.94,23717.7,29928.56,246730.16,67146.88,42859.93,99522.79,32234.35,220295.22,310565.36,75597.68,199877.78
"151",42.7948,18210.11,54391.32,1381639.68,127504.02,12905.19,196193.45,6101.16,127405.85,30428.96,6001.13,70354.98,31531.21,26822.61,24819.39,31030.7,241550.27,70562.18,44163.63,104757.57,32134.13,246088.95,320162.97,79820.34,232055.03
"152",43.0778,21413.98,70352.7,1724124.45,158679.87,20613.23,227604.62,4500.63,144046.28,34236.66,5400.91,72866.23,33835.94,27623.98,27223.32,28826.49,239417.88,67046.44,37445.76,94088.55,34038.29,247308.65,314240.34,89074.31,255954.94
"153",43.3608,20012.21,61918.31,1626978.36,159689.81,16908.9,192752.07,6101.16,128010.65,28826,5000.78,72765.77,32633.43,31330.84,29026.51,28926.68,243784.53,72370.59,39952.08,91573.35,29629.02,208834.09,277224.98,60225.53,159175
"154",43.6438,16908.72,47670.16,1303590.56,118837.95,12604.95,150705.19,4200.55,103534.3,24018.05,5100.82,65233.26,32833.84,25720.79,22415.81,29227.23,226325.15,68050.86,39150.01,92981.81,27625.23,178549.36,229229.11,75597.68,196836.3
"155",43.9268,15507.33,55996.78,1451904.43,136679.01,15107.11,187490.21,6601.36,133354.08,35639.73,4400.61,73971.3,35639.88,25620.63,25119.86,27524.16,224499.13,62828.61,36643.82,88153.35,29228.24,207921.61,261039.95,72582.24,191261.93
"156",44.2099,18410.33,59810.4,1420367.12,138797.05,15507.49,201356.89,5500.95,140111.53,37443.85,4400.61,75578.82,38346.16,31531.24,28225.07,31030.7,234849.39,68854.44,41055,93887.32,29829.41,224861.77,316997.15,76904.56,202412.82
"157",44.4929,18810.79,62520.62,1719541.05,161305.83,19912.34,211080.79,6501.32,150000.67,32432.9,4700.69,82714.13,36341.46,27623.98,24919.54,29627.99,246527.01,67649.09,39851.82,95497.24,32134.13,210557.77,279262.07,79015.93,207788.58
"158",44.7759,19611.73,62219.46,1669222.11,165447.64,18710.9,237851.81,7401.71,166967.7,37544.08,5500.95,86232.72,38947.61,38346.19,31230.69,35139.36,283342.54,83024.44,44163.63,116945.45,37747.09,265615.63,341728.6,77005.09,206469.8
"159",45.0589,20212.45,64327.69,1718498.28,154337.87,16408.38,218073.49,6001.13,166967.7,38446.23,5400.91,90858.31,43258.73,39047.89,29026.51,35139.36,278252.4,94591.23,54797.93,122790.99,36844.86,240398.37,340808.11,84949.53,230327.62
"160",45.342,24418.18,63825.7,1715830.9,159386.82,20312.85,213310.04,4700.69,145156.25,34938.18,5701.02,84825.19,39047.86,31531.24,25520.5,26422.26,227238.24,68954.89,39851.82,83225.85,29929.61,218063.16,285680.62,77909.94,212455.96
"161",45.625,20112.33,56398.17,1437499.84,153227.32,17409.44,190525.69,5300.88,138598.42,30929.93,3300.34,66438.22,37043.07,28926.29,29026.51,29127.05,242565.8,70059.89,37746.49,101133.3,36143.17,217657.38,286801.59,76100.31,215805.21
"162",45.908,23216.43,63825.7,1775146.72,156559.22,18510.67,243536.21,7601.8,173941.5,40651.68,5901.09,82412.58,47871.91,35740.13,35539.74,37043.74,299132.4,77797.1,54195.8,129143,42259.01,268160.02,397264.71,89979.91,264914.85
"163",46.191,22014.77,71959.75,1997787.15,173229.02,17209.22,253183.99,6401.28,177176.75,45264.06,6801.45,103837.25,47972.21,41153.19,34236.88,39549.85,314121.91,84934.88,49279.22,133379.12,43963.86,252798.42,364861.14,91086.82,245067.97
"164",46.4741,21413.98,66436.19,1566425.72,164841.46,16408.38,183241.5,4400.61,141826.57,30428.96,5200.85,87439.26,37243.54,32232.64,28525.6,30229.13,248660.36,81415.84,40152.61,109087.7,35040.58,219382.06,285069.22,77407.24,213166.34
"165",46.7571,24318.02,66938.25,1791697.5,180710.77,19111.37,246988.43,5901.09,162825.28,39548.91,6001.13,86936.52,40050.35,39950.13,29427.25,33936.71,263500.27,76792.05,39651.3,102542.64,32033.92,217961.72,275493.71,68562.64,209513.31
"166",47.0401,19311.37,63223.35,1700031.87,169590.51,14206.28,227198.93,6001.13,151010.12,37844.79,4300.58,84825.19,37644.48,32833.87,34337.09,33535.85,265635.94,72973.45,41255.53,107476.35,38950.14,226485.77,309034.41,82736.72,210933.82
"167",47.3231,17809.67,62219.46,1638000.04,167872.61,15507.49,225373.44,4900.75,156260.23,36040.63,5300.88,76684.08,38747.12,37945.23,27523.84,30329.33,285786.38,80611.6,43261.06,103549.39,32434.77,223643.9,293121.39,77809.4,212455.96
"168",47.6062,21413.98,69247.94,1681128.94,165346.61,19411.73,231053.45,7701.85,148284.78,32833.72,4800.72,79698.82,40150.6,34838.13,29126.69,32734.16,243784.53,73274.88,41756.89,104052.8,30731.22,222121.66,326190.1,79217.03,207382.79
